,region,education,jobtype,cptype,sales,employees,aversalary,capital,pros_encoded
0,2,3,1,1,1.3963,1.2104,2.3043,1.6457,2.0
1,2,0,0,2,5.0072,0.9461,0.3478,14.5465,1.05
2,2,0,0,0,95.8569,10.7799,0.8261,,0.95
3,2,0,1,1,21.3606,12.3409,,,0.4
4,2,0,0,1,0.4241,1.6106,0.8696,53.1723,1.1
5,2,0,0,0,0.0777,3.712,-0.0435,-0.07,0.7
6,2,0,1,0,,,,,0.05
7,2,1,1,1,1.3717,0.8855,1.5652,,0.6
8,2,3,0,1,0.7896,0.3612,0.2609,0.9375,1.95
9,2,0,0,0,0.0777,3.712,-0.0435,-0.07,0.7
10,2,0,1,2,0.6135,0.5815,1.3478,-0.1089,1.3
11,2,0,1,2,-0.0403,-0.0579,0.6522,0.4837,0.7
12,2,0,0,0,-0.084,0.3298,0.1304,-0.1096,0.95
13,2,0,1,2,0.312,-0.0272,,5.8862,1.0
14,2,3,1,2,13.1835,4.8715,-1.6522,12.5893,1.3
15,2,0,0,2,13.1835,4.8715,-1.6522,12.5893,1.3
16,2,0,0,2,17.6008,9.094,-1.3043,76.3061,0.9
17,2,0,1,1,-0.0994,-0.1241,0.913,0.0285,-0.2
18,2,3,0,2,4.0039,1.7528,1.3478,3.8604,0.4
19,2,3,1,1,0.8784,1.0417,0.8696,1.0115,1.75
20,2,3,1,2,32.7517,8.2852,1.4348,10.9857,1.75
21,2,3,1,1,0.3045,0.2224,0.6087,0.7369,0.4
22,2,0,1,2,,,,,-0.5
23,2,3,0,0,0.1608,0.2601,1.4783,-0.1093,0.45
24,2,2,1,1,-0.0761,-0.0383,0.8696,-0.0994,0.5
25,2,3,1,1,1.5782,0.7955,2.0,0.0128,0.85
26,2,4,1,2,24.2279,24.4393,1.3913,20.3211,0.9
27,2,2,1,1,0.2491,0.3549,1.1304,0.1267,1.45
28,2,0,1,1,0.3879,0.3396,2.087,0.3577,0.85
29,2,3,0,2,7.2445,1.7758,1.4348,34.4936,0.9
30,2,0,0,0,0.0542,1.8825,0.4783,0.4181,0.4
31,2,0,1,2,2.8232,2.9284,1.1739,1.8891,1.0
32,2,3,1,1,-0.117,-0.1785,,6.0131,1.05
33,2,0,0,0,-0.0855,-0.0035,,-0.1129,0.55
34,2,4,1,2,16.8751,2.6223,-1.5217,0.8972,1.45
35,2,3,1,1,0.3038,0.1011,1.6522,2.2379,0.85
36,2,3,1,1,1.0639,0.3786,1.4783,2.4838,1.0
37,2,0,1,2,11.5088,8.9754,1.2174,76.1762,1.15
38,2,3,1,1,0.0301,-0.0537,0.7391,0.3198,0.75
39,2,0,1,2,0.6135,0.5815,1.3478,-0.1089,1.3
40,2,3,1,1,-0.0811,-0.0516,0.4783,0.0217,0.05
41,2,0,1,2,0.6135,0.5815,1.3478,-0.1089,1.3
42,2,0,1,1,0.3321,0.866,1.6522,0.0324,1.0
43,2,0,1,1,1.0082,1.8107,0.5217,2.2637,0.55
44,2,0,1,1,-0.0947,-0.0146,1.0435,-0.0133,0.45
45,2,3,1,1,0.7094,0.9245,0.3478,0.2162,0.4
46,2,0,0,0,0.0542,1.8825,0.4783,0.4181,0.4
47,2,0,0,0,0.0542,1.8825,0.4783,0.4181,0.4
48,2,1,0,1,0.5721,0.7649,0.1739,0.0004,1.05
49,2,0,1,0,,,,,0.05
50,2,3,0,2,4.0039,1.7528,1.3478,3.8604,0.4
51,2,0,0,1,-0.0285,0.235,-0.2609,0.05,0.1
52,2,3,1,2,0.6477,1.9055,-0.4348,0.4294,0.9
53,2,3,1,2,15.371,13.6127,-1.7826,35.2445,1.45
54,2,0,0,2,11.0401,7.392,1.3043,58.0584,1.2
55,2,3,0,2,21.9529,1.2376,1.2609,27.5812,0.9
56,2,2,0,2,1.4742,1.0458,2.1739,0.0708,1.55
57,2,0,0,2,17.6008,9.094,-1.3043,76.3061,0.9
58,2,0,0,0,0.0542,1.8825,0.4783,0.4181,0.4
59,2,1,0,1,0.0223,0.076,0.9565,0.2486,0.6
60,2,3,1,2,10.2384,8.2705,-0.8261,2.5312,-0.25
61,2,0,1,2,0.8795,0.5417,0.4783,-0.0226,1.1
62,2,3,0,2,4.0039,1.7528,1.3478,3.8604,0.4
63,2,0,1,1,-0.0285,0.235,-0.2609,0.05,0.1
64,2,3,1,1,-0.117,-0.1785,,6.0131,1.05
65,2,4,1,1,1.3593,5.9418,-0.087,0.1448,1.05
66,2,3,0,2,,,0.3478,,-0.25
67,2,3,1,2,6.703,4.7432,1.4348,2.4648,1.7
68,2,0,0,1,0.4973,0.9991,1.2609,-0.0904,0.6
69,2,0,0,1,0.1809,0.106,0.6957,-0.0389,0.95
70,2,0,1,1,-0.0098,0.4393,0.1304,-0.0716,-0.35
71,2,0,0,2,0.1979,0.4441,0.8696,0.3346,0.85
72,2,0,0,2,,0.7649,0.1739,41.1427,0.3
73,2,3,1,1,1.0639,0.3786,1.4783,2.4838,1.0
74,2,3,1,2,0.8748,0.0983,0.7826,0.1557,1.8
75,2,0,0,2,1.4829,1.6482,1.8261,0.9995,1.15
76,2,2,1,2,2.4007,2.3029,,0.9737,1.0
77,2,0,0,2,,7.7943,-1.0,121.0129,1.25
78,2,0,0,2,0.7904,1.0152,-1.6087,23.9004,1.0
79,2,0,0,2,13.57,12.0042,1.087,45.5816,0.55
80,2,0,0,2,13.57,12.0042,1.087,45.5816,0.55
81,2,3,0,1,0.1917,0.1164,,0.1018,0.95
82,2,0,0,2,2.8232,2.9284,1.1739,1.8891,1.0
83,2,0,0,1,-0.0285,0.235,-0.2609,0.05,0.1
84,2,2,1,1,0.1809,0.106,0.6957,-0.0389,0.95
85,2,0,0,1,0.4973,0.9991,1.2609,-0.0904,0.6
86,2,3,1,1,-0.072,-0.1743,0.7826,0.2317,0.3
87,2,3,1,0,-0.1065,-0.122,1.087,3.3939,-0.15
88,2,3,1,1,-0.117,-0.1785,,6.0131,1.05
89,2,3,1,1,0.3045,0.2224,0.6087,0.7369,0.4
90,2,3,0,1,0.3879,0.3396,2.087,0.3577,0.85
91,2,1,1,1,0.5442,0.1353,0.3478,-0.0678,0.5
92,2,1,0,2,0.068,0.235,0.9565,1.9537,0.8
93,2,0,0,2,0.3793,0.7774,1.2174,0.0814,1.25
94,2,1,0,2,3.0558,1.2955,1.2174,2.4096,0.6
95,2,0,1,2,0.0895,0.2008,1.0435,0.0,0.35
96,2,2,1,1,-0.072,-0.1743,0.7826,0.2317,0.3
97,2,0,0,2,17.6008,9.094,-1.3043,76.3061,0.9
98,2,0,0,2,17.6008,9.094,-1.3043,76.3061,0.9
99,2,0,1,2,0.7763,0.5522,0.9565,1.243,1.05
100,2,3,0,2,0.7904,1.0152,-1.6087,23.9004,1.0
101,2,0,1,2,24.2279,24.4393,1.3913,20.3211,0.9
102,2,0,0,2,17.6008,9.094,-1.3043,76.3061,0.9
103,2,3,1,1,0.0619,-0.0655,0.3043,0.5649,0.35
104,2,2,0,2,2.4007,2.3029,,0.9737,1.0
105,2,0,0,1,-0.0947,-0.0146,1.0435,-0.0133,0.45
106,2,0,0,2,17.6008,9.094,-1.3043,76.3061,0.9
107,2,0,1,0,0.1608,0.2601,1.4783,-0.1093,0.45
108,2,0,0,1,0.1809,0.106,0.6957,-0.0389,0.95
109,2,0,1,2,0.4406,0.8346,1.1739,0.0538,1.15
110,2,4,1,1,1.3593,5.9418,-0.087,0.1448,1.05
111,2,3,1,2,32.7517,8.2852,1.4348,10.9857,1.75
112,2,3,1,1,2.647,1.9474,0.8696,14.9583,0.2
113,2,3,0,2,13.1835,4.8715,-1.6522,12.5893,1.3
114,2,0,1,1,0.1023,0.1004,0.087,-0.1017,0.1
115,2,3,1,1,0.2491,0.3549,1.1304,0.1267,1.45
116,2,3,1,1,-0.117,-0.1785,,6.0131,1.05
117,2,0,1,1,0.1023,0.1004,0.087,-0.1017,0.1
118,2,3,1,2,3.6911,0.4581,,7.2505,0.4
119,2,0,0,2,13.1835,4.8715,-1.6522,12.5893,1.3
120,2,3,0,1,0.3879,0.3396,2.087,0.3577,0.85
121,2,3,0,2,0.7904,1.0152,-1.6087,23.9004,1.0
122,2,0,0,0,0.0542,1.8825,0.4783,0.4181,0.4
123,2,3,1,1,0.0107,0.1645,-0.2609,-0.0181,0.75
124,2,0,1,1,0.3321,0.866,1.6522,0.0324,1.0
125,2,2,0,1,0.9427,0.1771,1.0,0.1582,0.35
126,2,3,1,1,0.0624,0.2482,0.6087,0.1062,0.65
127,2,0,1,1,0.3321,0.866,1.6522,0.0324,1.0
128,2,1,1,2,7.2445,1.7758,1.4348,34.4936,0.9
129,2,2,0,2,4.0039,1.7528,1.3478,3.8604,0.4
130,2,3,1,1,0.0301,0.4644,,,-0.2
131,2,0,0,2,17.6008,9.094,-1.3043,76.3061,0.9
132,2,0,0,2,17.6008,9.094,-1.3043,76.3061,0.9
133,2,2,0,2,0.4613,2.5386,,1.077,0.55
134,2,0,0,2,41.3458,,-1.087,33.5381,1.7
135,2,0,0,0,,-0.1604,-0.5652,,-0.15
136,2,0,0,2,1.1794,0.3416,0.8696,0.3511,0.75
137,2,0,0,2,17.6008,9.094,-1.3043,76.3061,0.9
138,2,0,0,2,7.2445,1.7758,1.4348,34.4936,0.9
139,2,0,1,1,0.3321,0.866,1.6522,0.0324,1.0
140,2,0,0,2,17.6008,9.094,-1.3043,76.3061,0.9
141,2,0,0,2,2.626,1.9125,0.8261,1.017,0.55
142,2,0,1,2,1.9446,3.1808,2.2609,0.1969,1.65
143,2,0,0,0,-0.1065,-0.122,1.087,3.3939,-0.15
144,2,3,1,0,0.1608,0.2601,1.4783,-0.1093,0.45
145,2,3,0,1,0.8421,0.2984,0.8261,1.0863,0.55
146,2,0,1,2,17.6008,9.094,-1.3043,76.3061,0.9
147,2,3,1,1,0.0301,-0.0537,0.7391,0.3198,0.75
148,2,0,0,2,1.9155,0.8436,0.6957,1.5761,1.15
149,2,0,1,1,0.0301,0.4644,,,-0.2
150,2,0,0,2,1.1922,0.6017,-1.7391,24.6732,0.95
151,2,3,1,1,2.647,1.9474,0.8696,14.9583,0.2
152,2,0,1,1,0.1809,0.106,0.6957,-0.0389,0.95
153,2,3,1,0,-0.1065,-0.122,1.087,3.3939,-0.15
154,2,3,1,1,-0.117,-0.1785,,6.0131,1.05
155,2,0,1,1,0.1809,0.106,0.6957,-0.0389,0.95
156,2,3,1,1,0.3321,0.866,1.6522,0.0324,1.0
157,2,3,1,1,0.0624,0.2482,0.6087,0.1062,0.65
158,2,1,0,2,1.1794,0.3416,0.8696,0.3511,0.75
159,2,0,1,2,1.9446,3.1808,2.2609,0.1969,1.65
160,2,0,0,2,17.6008,9.094,-1.3043,76.3061,0.9
161,2,0,1,2,0.6135,0.5815,1.3478,-0.1089,1.3
162,2,0,1,1,1.3593,5.9418,-0.087,0.1448,1.05
163,2,0,1,2,1.9446,3.1808,2.2609,0.1969,1.65
164,2,5,0,0,0.3201,,-0.3478,7.5294,-0.25
165,2,0,1,1,0.1917,0.1164,,0.1018,0.95
166,2,0,1,1,0.145,0.304,0.8261,0.0169,0.3
167,2,3,1,1,2.647,1.9474,0.8696,14.9583,0.2
168,2,0,1,1,0.3321,0.866,1.6522,0.0324,1.0
169,2,0,1,1,0.3321,0.866,1.6522,0.0324,1.0
170,2,3,0,1,0.0223,0.076,0.9565,0.2486,0.6
171,2,0,0,2,,7.7943,-1.0,121.0129,1.25
172,2,0,0,2,17.6008,9.094,-1.3043,76.3061,0.9
173,2,0,1,0,9.9106,2.5797,0.3043,,-0.2
174,2,0,1,1,1.3869,0.5899,1.5217,2.501,1.45
175,2,0,0,2,,7.7943,-1.0,121.0129,1.25
176,2,0,0,2,17.6008,9.094,-1.3043,76.3061,0.9
177,2,1,0,1,0.5721,0.7649,0.1739,0.0004,1.05
178,2,0,1,1,0.3321,0.866,1.6522,0.0324,1.0
179,2,0,1,2,0.4406,0.8346,1.1739,0.0538,1.15
180,1,0,0,0,95.8569,10.7799,0.8261,,0.95
181,1,0,1,1,21.3606,12.3409,,,0.4
