,region,education,jobtype,cptype,sales,employees,aversalary,capital,pros_encoded
0,0,3,0,0,,,,,-0.5
1,0,1,0,2,0.2937,1.8881,0.4783,0.2448,1.05
2,0,2,0,1,-0.0058,0.6059,0.1739,1.3628,0.15
3,0,0,1,1,0.1747,-0.1032,1.1304,1.1483,-0.35
4,0,1,0,2,22.7143,,-0.2609,605.9868,0.65
5,0,1,0,2,1.5751,0.9566,1.2609,0.5696,0.85
6,0,0,1,0,-0.129,-0.2029,-0.6087,0.6554,-0.4
7,0,3,1,0,-0.0977,-0.1457,0.3478,-0.0983,0.1
8,0,0,0,0,-0.0068,0.1011,,-0.0887,-0.3
9,0,0,1,0,-0.1274,-0.1903,,,-0.1
10,0,0,0,0,,,-0.6522,,-0.5
11,0,0,1,0,-0.1164,-0.1673,0.4348,-0.0875,-0.2
12,0,0,1,0,-0.1122,-0.1813,-0.0435,-0.0927,-0.05
13,0,2,1,0,-0.1251,-0.191,,-0.0678,-0.15
14,0,1,1,1,0.3995,7.171,-0.0435,0.0678,0.35
15,0,0,0,0,,,,,-0.15
16,0,0,0,0,,,-0.6087,,-0.5
17,0,2,1,0,-0.0991,-0.1325,-0.087,5.5383,-0.35
18,0,3,1,2,0.0235,-0.0774,1.3478,1.017,0.3
19,0,3,1,0,,-0.2057,,-0.1017,-0.45
20,0,0,0,1,-0.0513,-0.0488,0.5217,-0.113,0.2
21,0,0,0,0,-0.1064,-0.1604,,-0.0925,-0.35
22,0,0,0,1,-0.0933,0.2677,-0.087,0.791,0.2
23,0,0,0,0,,-0.113,-0.2174,-0.1128,-0.35
24,0,0,1,2,-0.1098,-0.0509,0.4783,-0.0165,0.05
25,0,1,1,0,-0.0984,-0.1883,,0.1839,-0.15
26,0,0,1,0,-0.1292,-0.2057,,-0.0993,-0.4
27,0,0,0,0,-0.0504,-0.092,0.3478,-0.0926,-0.2
28,0,0,1,0,,-0.2064,,,-0.5
29,0,0,1,0,,-0.1848,,,-0.05
30,0,0,1,0,-0.087,-0.1095,0.5217,-0.0892,0.25
31,0,0,0,0,-0.13,0.0397,-0.0435,-0.1127,0.7
32,0,1,1,0,-0.1195,-0.1903,0.4348,-0.0484,-0.05
33,0,0,0,2,18.978,3.3516,0.1304,0.4853,1.2
34,0,2,0,0,-0.1234,-0.1534,-0.087,0.0303,-0.35
35,0,0,0,0,-0.13,0.0397,-0.0435,-0.1127,0.7
36,0,0,1,0,,-0.2064,,,-0.5
37,0,0,1,0,-0.115,-0.1792,0.5652,-0.1115,-0.05
38,0,2,1,1,-0.1231,-0.1869,0.8696,-0.0452,0.05
39,0,1,1,1,1.566,0.3277,-0.087,-0.0633,0.25
40,0,0,1,2,0.6135,0.5815,1.3478,-0.1089,1.3
41,0,0,1,0,,-0.1952,0.0,,-0.5
42,0,3,1,1,-0.117,-0.1785,,6.0131,1.05
43,0,0,1,0,-0.1243,-0.1046,-0.5217,-0.1107,-0.4
44,0,1,1,0,,-0.1959,,,-0.5
45,0,0,0,1,-0.0933,0.2677,-0.087,0.791,0.2
46,0,0,1,0,-0.1043,-0.1834,0.4783,-0.0994,-0.2
47,0,0,1,0,,,,,-0.5
48,0,2,0,0,-0.1276,,-0.3043,-0.1125,-0.45
49,0,0,0,2,10.4615,0.4985,1.2609,12.8586,0.15
50,0,0,0,0,,,,,-0.5
51,0,0,0,0,,,,,-0.45
52,0,2,1,2,0.3691,0.0314,1.2609,1.6779,0.05
53,0,1,1,1,0.1944,2.3664,,-0.0995,0.55
54,0,1,0,2,3.1277,8.7809,0.3913,0.1317,0.8
55,0,1,0,2,1.5751,0.9566,1.2609,0.5696,0.85
56,0,2,0,1,-0.0107,,0.0,0.0488,0.15
57,0,0,0,0,-0.1131,-0.0265,-0.1304,-0.1107,0.2
58,0,5,1,0,0.0015,0.7823,,18.338,-0.5
59,0,1,1,0,-0.1239,-0.1994,0.0435,-0.1119,-0.2
60,0,3,1,0,,-0.1827,-0.0435,,-0.35
61,0,0,1,1,21.3606,12.3409,,,0.4
62,0,0,0,1,-0.1283,-0.0725,0.0435,-0.1074,-0.2
63,0,0,1,1,0.6564,1.6225,,0.7009,-0.05
64,0,2,1,2,0.767,1.2334,0.087,4.9167,0.95
65,0,0,0,2,2.0819,1.4028,0.087,0.6464,0.55
66,0,1,1,1,0.1944,2.3664,,-0.0995,0.55
67,0,0,1,0,,,0.087,,-0.25
68,0,0,0,0,,,,,-0.5
69,0,0,1,1,1.3593,5.9418,-0.087,0.1448,1.05
70,0,0,1,0,-0.028,-0.1855,0.3913,-0.104,0.5
71,0,3,0,1,2.1104,3.0957,1.6087,0.4119,1.05
72,0,0,0,2,17.6008,9.094,-1.3043,76.3061,1.15
73,0,2,0,1,-0.0107,0.5271,0.0,0.0488,0.15
74,0,0,1,0,-0.1156,-0.1792,-0.2609,-0.1107,0.0
75,0,2,0,1,-0.0058,0.6059,0.1739,1.3628,0.15
76,0,0,1,0,-0.1301,-0.1813,-0.6957,-0.1119,0.25
77,0,0,1,0,,-0.2064,,-0.1121,-0.5
78,0,0,0,0,-0.13,0.0397,-0.0435,-0.1127,0.7
79,0,0,1,0,,,-0.1304,,-0.5
80,0,0,0,0,,-0.2071,,,-0.3
81,0,3,1,2,0.8748,0.0983,0.7826,0.1557,1.8
82,0,1,0,2,22.7143,,-0.2609,605.9868,0.65
83,0,0,1,1,0.2491,0.3549,1.4348,0.1267,1.45
84,0,0,1,0,,,,,-0.5
85,0,0,1,0,-0.1282,-0.1778,-0.3913,-0.1129,-0.25
86,0,3,0,0,0.1132,0.0,-0.4783,3.5031,-0.1
87,0,0,1,0,-0.1266,-0.1604,-0.0435,-0.1107,0.3
88,0,0,1,0,-0.1256,-0.1987,-0.5217,-0.1107,-0.3
89,0,0,1,0,,-0.2064,,,-0.5
90,0,1,0,1,0.2856,0.3145,0.087,0.0706,-0.1
91,0,0,0,0,,,-0.6522,,-0.5
92,0,2,1,1,0.0237,0.0697,0.0,-0.0678,0.5
93,0,0,1,0,,-0.2022,,,-0.5
94,0,3,1,1,0.0624,0.2482,0.6087,0.1062,0.65
95,0,2,1,0,-0.1218,,0.087,-0.1119,-0.5
96,0,0,0,2,17.6008,9.094,-1.3043,76.3061,1.15
97,0,0,0,0,-0.1272,-0.115,,-0.1128,-0.35
98,0,0,0,0,-0.13,0.0397,-0.0435,-0.1127,0.7
99,0,0,0,0,-0.13,0.0397,-0.0435,-0.1127,0.7
100,0,2,0,1,-0.0277,-0.1171,0.2609,-0.1062,0.3
101,0,1,1,0,,,,,-0.5
102,0,1,1,0,-0.126,-0.0851,-0.5652,-0.1085,-0.35
103,0,0,1,1,0.1911,-0.1645,0.0435,-0.0904,0.15
104,0,1,0,2,22.7143,,-0.2609,605.9868,0.65
105,0,0,0,0,-0.0504,-0.092,0.3478,-0.0926,-0.2
106,0,0,1,0,-0.1285,-0.1046,-0.5217,-0.1085,-0.5
107,0,3,0,1,0.4422,0.191,0.9565,0.0044,0.65
108,0,0,1,1,0.1307,0.1102,0.087,-0.0264,-0.05
109,0,2,0,1,-0.0277,3.277,0.2609,-0.1062,0.3
110,0,3,1,1,-0.117,-0.1785,,6.0131,1.05
111,0,3,0,0,,-0.2036,,,-0.45
112,0,1,1,0,,-0.2064,,,-0.5
113,0,0,1,0,,,-0.2174,,-0.3
114,0,0,1,0,,-0.2064,,,-0.5
115,0,1,1,1,-0.0104,0.0209,-0.1304,-0.0437,0.25
116,0,0,1,1,-0.0058,0.6059,0.1739,1.3628,0.15
117,0,2,0,1,0.0522,1.2271,-0.4348,1.0214,-0.1
118,0,1,0,0,-0.1218,-0.0467,-0.5217,-0.1062,-0.35
119,0,2,1,1,0.4531,0.8158,-0.1739,1.4671,0.15
120,0,0,1,2,0.6135,0.5815,1.3478,-0.1089,1.3
121,0,0,0,1,-0.0277,-0.1171,0.2609,-0.1062,0.3
122,0,1,0,2,3.1277,8.7809,0.3913,0.1317,0.8
123,0,1,0,2,-0.0163,0.0983,1.1304,0.1582,-0.05
124,0,0,0,0,-0.1272,-0.115,,-0.1128,-0.35
125,0,2,1,0,,-0.1938,,,-0.5
126,0,0,0,1,-0.0933,0.2677,-0.087,0.791,0.2
127,0,2,1,0,-0.094,-0.129,-0.0435,-0.1106,0.1
128,0,3,1,1,0.0237,0.0697,0.0,-0.0678,0.5
129,0,1,0,2,2.1978,3.2407,0.8261,0.806,1.05
130,0,0,0,0,,0.0697,1.0,-0.0904,-0.35
131,0,2,1,0,,-0.2036,-0.1304,,-0.35
132,0,0,0,1,-0.0513,-0.0488,0.5217,-0.113,0.2
133,0,0,0,1,-0.1209,-0.1743,-0.3043,-0.1107,-0.3
134,0,0,0,2,21.5506,4.4623,,2.147,0.65
135,0,0,0,1,4.5712,,1.3913,6.4333,1.35
136,0,4,0,2,,,-0.2609,,-0.25
137,0,0,1,2,0.6135,0.5815,1.3478,-0.1089,1.3
138,0,2,1,0,-0.0991,-0.1325,-0.087,5.5383,-0.35
139,0,0,0,0,-0.13,0.0397,-0.0435,-0.1127,0.7
140,0,0,0,2,21.5506,4.4623,,2.147,0.65
141,0,0,0,0,,,,,-0.5
142,0,1,0,0,,,,,-0.5
143,0,1,1,1,0.2151,0.1736,0.6522,1.7512,1.0
144,0,1,1,0,-0.1299,-0.1883,-0.2609,-0.1119,-0.25
145,0,0,1,0,-0.129,-0.1869,,-0.0113,-0.2
146,0,3,0,2,1.0893,1.3519,1.1304,1.605,1.2
147,0,0,1,2,-0.1098,-0.0509,0.4783,-0.0165,0.05
148,0,0,0,0,,,-0.6522,,-0.5
149,0,3,1,1,-0.1248,-0.205,0.7391,-0.048,0.75
150,0,0,0,2,0.018,0.9942,0.4783,-0.1017,0.65
151,0,1,0,2,22.7143,,-0.2609,605.9868,0.65
152,0,0,0,1,-0.0933,0.2677,-0.087,0.791,0.2
153,0,2,1,0,-0.063,-0.1799,0.6522,-0.1017,0.35
154,0,0,1,1,0.0394,-0.0488,0.8696,0.457,1.15
155,0,2,0,0,-0.1296,-0.2008,-0.4783,-0.1107,-0.35
