,region,education,jobtype,cptype,sales,employees,aversalary,capital,pros_encoded
0,서울,4,3,2,180908204,"2,036",9516,7781959,50.0
1,서울,4,3,3,60628188,"5,415",2858,1297880,18.0
2,서울,4,1,3,60628188,"5,415",-,1297880,49.0
3,서울,0,1,3,60628188,"5,415",-,1297880,29.0
4,서울,0,3,3,32879127,"3,241",5739,208129,16.0
5,서울,0,3,2,2547000000,"18,000",-,-,18.0
6,서울,0,3,2,2547000000,"18,000",-,-,21.0
7,서울,0,3,2,2547000000,"18,000",-,-,36.0
8,서울,0,3,1,-,-,-,-,11.0
9,서울,0,3,1,-,-,-,-,27.0
10,부산,4,1,1,-,-,-,-,49.0
11,부산,0,1,1,-,-,-,-,29.0
12,부산,0,3,3,32879127,"3,241",5739,208129,16.0
13,부산,0,3,2,2547000000,"18,000",-,-,18.0
14,부산,0,1,1,4499319,418,5928,4933250,19.0
15,부산,0,3,1,-,-,-,-,11.0
16,부산,0,1,1,-,-,-,-,39.0
17,부산,0,2,1,24636017,"5,624",4166,19400,24.0
18,부산,0,2,1,24636017,"5,624",-,19400,9.0
19,부산,4,3,3,173969139,"3,219",5553,11701220,29.0
20,인천,0,1,3,173969139,"3,219",-,11701220,29.0
21,인천,0,3,3,32879127,"3,241",5739,208129,16.0
22,인천,0,3,2,2547000000,"18,000",-,-,18.0
23,인천,3,3,2,2547000000,"18,000",-,-,41.0
24,인천,0,3,2,2547000000,"18,000",-,-,21.0
25,인천,0,3,3,15451691,"2,650",5700,435951630,16.0
26,인천,0,3,2,3646900,122,6359,626200,6.0
27,인천,4,3,3,173969139,"3,219",5553,11701220,29.0
28,인천,0,3,3,173969139,"3,219",-,11701220,31.0
29,인천,2,3,3,874015900,"2,847",7540,153127500,28.0
30,대전,4,1,3,874015900,"2,847",-,153127500,49.0
31,대전,0,1,3,874015900,"2,847",-,153127500,29.0
32,대전,0,3,3,32879127,"3,241",5739,208129,16.0
33,대전,0,3,2,2547000000,"18,000",-,-,18.0
34,대전,3,3,2,2547000000,"18,000",-,-,41.0
35,대전,0,3,1,24636017,"5,624",4166,19400,24.0
36,대전,0,2,1,24636017,"5,624",4166,19400,24.0
37,대전,0,3,1,24636017,"5,624",-,19400,12.0
38,대전,0,2,3,45017477,"6,482",5791,149182864,27.0
39,대전,0,1,1,53059,295,-,500,16.0
40,광주,4,1,1,53059,295,-,500,49.0
41,광주,0,1,1,53059,295,-,500,29.0
42,광주,0,3,3,32879127,"3,241",5739,208129,16.0
43,광주,0,3,2,2547000000,"18,000",-,-,18.0
44,광주,0,1,1,4499319,418,5928,4933250,19.0
45,광주,3,3,1,4499319,418,-,4933250,41.0
46,광주,0,2,1,24636017,"5,624",4166,19400,24.0
47,광주,0,1,1,53059,295,-,500,16.0
48,광주,0,2,3,211411300,"13,343",11230,338139200,28.0
49,광주,3,3,3,211411300,"13,343",-,338139200,41.0
50,대구,4,1,3,211411300,"13,343",-,338139200,49.0
51,대구,0,1,3,211411300,"13,343",-,338139200,29.0
52,대구,0,3,3,32879127,"3,241",5739,208129,16.0
53,대구,0,3,2,2547000000,"18,000",-,-,18.0
54,대구,0,3,2,2547000000,"18,000",-,-,27.0
55,대구,3,3,2,2547000000,"18,000",-,-,41.0
56,대구,0,3,1,33056425,226,6209,27229716,22.0
57,대구,0,0,3,211411300,"13,343",11230,338139200,28.0
58,대구,4,3,3,173969139,"3,219",5553,11701220,29.0
59,대구,0,1,1,53059,295,-,500,16.0
60,울산,0,1,1,53059,295,-,500,29.0
61,울산,0,3,3,32879127,"3,241",5739,208129,16.0
62,울산,3,3,3,32879127,"3,241",-,208129,41.0
63,울산,0,1,3,32879127,"3,241",-,208129,39.0
64,울산,4,3,3,173969139,"3,219",5553,11701220,29.0
65,울산,0,2,3,211411300,"13,343",11230,338139200,28.0
66,울산,4,3,2,5143763,445,8040,10402327,22.0
67,울산,3,3,2,5143763,445,-,10402327,32.0
68,울산,3,3,2,5143763,445,-,10402327,41.0
69,울산,4,3,3,17434515,"1,092",6478,6000000,31.0
70,세종,0,1,3,17434515,"1,092",-,6000000,29.0
71,세종,0,1,1,4499319,418,5928,4933250,19.0
72,세종,0,1,1,53059,295,-,500,16.0
73,세종,2,1,1,53059,295,-,500,61.0
74,세종,4,3,1,53059,295,-,500,61.0
75,세종,0,2,1,32557976,551,5136,82000,13.0
76,세종,3,3,3,242448298,"1,510",5851,7473814,33.0
77,세종,0,0,3,211411300,"13,343",11230,338139200,28.0
78,세종,0,2,3,211411300,"13,343",-,338139200,26.0
79,세종,4,3,3,92194123,"3,033",3277,2400000,28.0
80,경기,4,3,3,14876421,"4,249",3457,63590,7.0
81,경기,4,3,2,180908204,"2,036",9516,7781959,50.0
82,경기,0,3,2,201310,-,3674,1000,
83,경기,4,1,2,201310,-,-,1000,49.0
84,경기,0,1,2,201310,-,-,1000,29.0
85,경기,0,3,3,32879127,"3,241",5739,208129,16.0
86,경기,0,3,2,2547000000,"18,000",-,-,18.0
87,경기,0,1,1,4499319,418,5928,4933250,19.0
88,경기,0,3,1,-,-,-,-,11.0
89,경기,3,3,1,-,-,-,-,41.0
90,강원특별자치도,4,1,1,-,-,-,-,49.0
91,강원특별자치도,0,1,1,-,-,-,-,29.0
92,강원특별자치도,0,3,3,32879127,"3,241",5739,208129,16.0
93,강원특별자치도,0,3,2,2547000000,"18,000",-,-,18.0
94,강원특별자치도,0,1,1,4499319,418,5928,4933250,19.0
95,강원특별자치도,0,3,1,4499319,418,-,4933250,27.0
96,강원특별자치도,0,2,1,24636017,"5,624",4166,19400,24.0
97,강원특별자치도,0,1,1,53059,295,-,500,16.0
98,강원특별자치도,0,3,1,53059,295,-,500,31.0
99,강원특별자치도,2,3,3,874015900,"2,847",7540,153127500,28.0
100,충북,4,1,3,874015900,"2,847",-,153127500,49.0
101,충북,0,1,3,874015900,"2,847",-,153127500,29.0
102,충북,0,3,3,32879127,"3,241",5739,208129,16.0
103,충북,0,1,1,4499319,418,5928,4933250,19.0
104,충북,0,2,1,24636017,"5,624",4166,19400,24.0
105,충북,4,3,3,173969139,"3,219",5553,11701220,29.0
106,충북,0,3,3,173969139,"3,219",-,11701220,31.0
107,충북,0,2,3,211411300,"13,343",11230,338139200,28.0
108,충북,2,3,3,211411300,"13,343",-,338139200,27.0
109,충북,3,3,3,211411300,"13,343",-,338139200,32.0
110,충남,4,1,3,211411300,"13,343",-,338139200,49.0
111,충남,0,1,3,211411300,"13,343",-,338139200,29.0
112,충남,0,3,2,2547000000,"18,000",-,-,18.0
113,충남,0,3,1,-,-,-,-,11.0
114,충남,3,3,1,-,-,-,-,41.0
115,충남,0,2,1,24636017,"5,624",4166,19400,24.0
116,충남,4,3,3,173969139,"3,219",5553,11701220,29.0
117,충남,0,2,3,251269913,"1,257",6865,18317031,21.0
118,충남,0,3,3,251269913,"1,257",-,18317031,31.0
119,충남,4,3,3,251269913,"1,257",-,18317031,31.0
120,전북특별자치도,4,1,3,251269913,"1,257",-,18317031,49.0
121,전북특별자치도,0,1,3,251269913,"1,257",-,18317031,29.0
122,전북특별자치도,0,3,3,32879127,"3,241",5739,208129,16.0
123,전북특별자치도,0,3,2,2547000000,"18,000",-,-,18.0
124,전북특별자치도,0,1,1,4499319,418,5928,4933250,19.0
125,전북특별자치도,0,3,1,4499319,418,-,4933250,27.0
126,전북특별자치도,3,3,1,4499319,418,-,4933250,41.0
127,전북특별자치도,2,3,2,178000000,"1,570",7815,-,27.0
128,전북특별자치도,0,2,1,24636017,"5,624",4166,19400,24.0
129,전북특별자치도,0,3,1,24636017,"5,624",-,19400,31.0
130,전남,4,1,1,24636017,"5,624",-,19400,49.0
131,전남,0,1,1,24636017,"5,624",-,19400,29.0
132,전남,0,3,3,32879127,"3,241",5739,208129,16.0
133,전남,0,3,2,2547000000,"18,000",-,-,18.0
134,전남,0,2,1,24636017,"5,624",4166,19400,24.0
135,전남,0,3,1,24636017,"5,624",-,19400,31.0
136,전남,2,1,1,24636017,"5,624",-,19400,61.0
137,전남,4,3,1,24636017,"5,624",-,19400,61.0
138,전남,3,3,1,24636017,"5,624",-,19400,32.0
139,전남,3,3,3,242448298,"1,510",5851,7473814,33.0
140,경북,0,1,3,242448298,"1,510",-,7473814,29.0
141,경북,0,3,2,2547000000,"18,000",-,-,18.0
142,경북,0,1,1,4499319,418,5928,4933250,19.0
143,경북,3,3,1,4499319,418,-,4933250,41.0
144,경북,0,1,1,4499319,418,-,4933250,39.0
145,경북,0,3,1,4499319,418,-,4933250,21.0
146,경북,0,3,1,4499319,418,-,4933250,12.0
147,경북,0,0,3,211411300,"13,343",11230,338139200,28.0
148,경북,4,3,3,173969139,"3,219",5553,11701220,29.0
149,경북,0,0,3,211411300,"13,343",11230,338139200,28.0
150,경남,4,1,3,211411300,"13,343",-,338139200,49.0
151,경남,0,1,3,211411300,"13,343",-,338139200,29.0
152,경남,0,3,3,32879127,"3,241",5739,208129,16.0
153,경남,0,2,1,13564657,"1,592",5461,185200,20.0
154,경남,3,3,1,13564657,"1,592",-,185200,41.0
155,경남,0,1,1,13564657,"1,592",-,185200,39.0
156,경남,2,3,2,178000000,"1,570",7815,-,27.0
157,경남,4,3,3,173969139,"3,219",5553,11701220,29.0
158,경남,2,3,3,874015900,"2,847",7540,153127500,28.0
159,경남,0,2,3,211411300,"13,343",11230,338139200,28.0
160,제주,0,1,3,211411300,"13,343",-,338139200,29.0
161,제주,0,3,3,32879127,"3,241",5739,208129,16.0
162,제주,0,3,2,2547000000,"18,000",-,-,18.0
163,제주,0,3,2,2547000000,"18,000",-,-,36.0
164,제주,3,3,3,242448298,"1,510",5851,7473814,33.0
165,제주,4,3,3,92194123,"3,033",3277,2400000,28.0
166,제주,0,3,3,92194123,"3,033",-,2400000,36.0
167,제주,0,3,3,92194123,"3,033",-,2400000,36.0
168,제주,0,3,3,92194123,"3,033",-,2400000,36.0
169,제주,0,3,3,92194123,"3,033",-,2400000,36.0
