,region,education,jobtype,cptype,sales,employees,aversalary,capital,pros_encoded
0,2,3,1,1,1809082.0,2036.0,95.0,77819.0,50.0
1,2,0,0,2,6088582.0,1657.0,50.0,648654.0,31.0
2,2,0,0,0,113760009.0,15761.0,61.0,,29.0
3,2,0,1,1,25470000.0,18000.0,,,18.0
4,2,0,0,1,656951.0,2610.0,62.0,2357766.0,32.0
5,2,0,0,0,246360.0,5624.0,41.0,1904.0,24.0
6,2,0,1,0,,,,,11.0
7,2,1,1,1,1780000.0,1570.0,78.0,,22.0
8,2,3,0,1,1090157.0,818.0,48.0,46482.0,49.0
9,2,0,0,0,246360.0,5624.0,41.0,1904.0,24.0
10,2,0,1,2,881344.0,1134.0,73.0,181.0,36.0
11,2,0,1,2,106532.0,217.0,57.0,26402.0,24.0
12,2,0,0,0,54731.0,773.0,45.0,150.0,29.0
13,2,0,1,2,524100.0,261.0,,265451.0,30.0
14,2,3,1,2,15778844.0,7287.0,4.0,562052.0,36.0
15,2,0,0,2,15778844.0,7287.0,4.0,562052.0,36.0
16,2,0,0,2,21014113.0,13343.0,12.0,3381392.0,28.0
17,2,0,1,1,36469.0,122.0,63.0,6262.0,6.0
18,2,3,0,2,4899563.0,2814.0,73.0,175816.0,18.0
19,2,3,1,1,1195327.0,1794.0,62.0,49756.0,45.0
20,2,3,1,2,38970304.0,12183.0,75.0,491096.0,45.0
21,2,3,1,1,515220.0,619.0,56.0,37606.0,18.0
22,2,0,1,2,,,,,0.0
23,2,3,0,0,344858.0,673.0,76.0,165.0,19.0
24,2,2,1,1,64154.0,245.0,62.0,600.0,20.0
25,2,3,1,1,2024741.0,1441.0,88.0,5567.0,27.0
26,2,4,1,2,28868279.0,35352.0,74.0,904169.0,28.0
27,2,2,1,1,449485.0,809.0,68.0,10607.0,39.0
28,2,0,1,1,614078.0,787.0,90.0,20826.0,27.0
29,2,3,0,2,8740159.0,2847.0,75.0,1531275.0,28.0
30,2,0,0,0,218545.0,3000.0,53.0,23500.0,18.0
31,2,0,1,2,3500213.0,4500.0,69.0,88589.0,30.0
32,2,3,1,1,15622.0,44.0,,271066.0,31.0
33,2,0,0,0,53000.0,295.0,,5.0,21.0
34,2,4,1,2,20154031.0,4061.0,7.0,44700.0,39.0
35,2,3,1,1,514307.0,445.0,80.0,104023.0,27.0
36,2,3,1,1,1415132.0,843.0,76.0,114904.0,30.0
37,2,0,1,2,13794088.0,13173.0,70.0,3375646.0,33.0
38,2,3,1,1,190008.0,223.0,59.0,19150.0,25.0
39,2,0,1,2,881344.0,1134.0,73.0,181.0,36.0
40,2,3,1,1,58130.0,226.0,53.0,5960.0,11.0
41,2,0,1,2,881344.0,1134.0,73.0,181.0,36.0
42,2,0,1,1,547843.0,1542.0,80.0,6433.0,30.0
43,2,0,1,1,1349205.0,2897.0,54.0,105162.0,21.0
44,2,0,1,1,42105.0,279.0,66.0,4410.0,19.0
45,2,3,1,1,995055.0,1626.0,50.0,14568.0,18.0
46,2,0,0,0,218545.0,3000.0,53.0,23500.0,18.0
47,2,0,0,0,218545.0,3000.0,53.0,23500.0,18.0
48,2,1,0,1,832378.0,1397.0,46.0,5019.0,31.0
49,2,0,1,0,,,,,11.0
50,2,3,0,2,4899563.0,2814.0,73.0,175816.0,18.0
51,2,0,0,1,120483.0,637.0,36.0,7213.0,12.0
52,2,3,1,2,921941.0,3033.0,32.0,24000.0,28.0
53,2,3,1,2,18371437.0,19824.0,1.0,1564499.0,39.0
54,2,0,0,2,13238551.0,10902.0,72.0,2573969.0,34.0
55,2,3,0,2,26172012.0,2075.0,71.0,1225412.0,28.0
56,2,2,0,2,1901444.0,1800.0,92.0,8132.0,41.0
57,2,0,0,2,21014113.0,13343.0,12.0,3381392.0,28.0
58,2,0,0,0,218545.0,3000.0,53.0,23500.0,18.0
59,2,1,0,1,180762.0,409.0,64.0,16000.0,22.0
60,2,3,1,2,12288439.0,12162.0,23.0,117000.0,5.0
61,2,0,1,2,1196665.0,1077.0,53.0,4000.0,32.0
62,2,3,0,2,4899563.0,2814.0,73.0,175816.0,18.0
63,2,0,1,1,120483.0,637.0,36.0,7213.0,12.0
64,2,3,1,1,15622.0,44.0,,271066.0,31.0
65,2,4,1,1,1765299.0,8822.0,40.0,11409.0,31.0
66,2,3,0,2,,,50.0,,5.0
67,2,3,1,2,8098437.0,7103.0,75.0,114061.0,44.0
68,2,0,0,1,743643.0,1733.0,71.0,1000.0,22.0
69,2,0,0,1,368651.0,452.0,58.0,3278.0,29.0
70,2,0,1,1,142689.0,930.0,45.0,1832.0,3.0
71,2,0,0,2,388794.0,937.0,62.0,19805.0,27.0
72,2,0,0,2,,1397.0,46.0,1825482.0,16.0
73,2,3,1,1,1415132.0,843.0,76.0,114904.0,30.0
74,2,3,1,2,1191101.0,441.0,60.0,11889.0,46.0
75,2,0,0,2,1911758.0,2664.0,84.0,49225.0,33.0
76,2,2,1,2,2999516.0,3603.0,,48084.0,30.0
77,2,0,0,2,,11479.0,19.0,5359578.0,35.0
78,2,0,0,2,1091069.0,1756.0,5.0,1062543.0,30.0
79,2,0,0,2,16236933.0,17517.0,67.0,2021896.0,21.0
80,2,0,0,2,16236933.0,17517.0,67.0,2021896.0,21.0
81,2,3,0,1,381504.0,467.0,,9503.0,29.0
82,2,0,0,2,3500213.0,4500.0,69.0,88589.0,30.0
83,2,0,0,1,120483.0,637.0,36.0,7213.0,12.0
84,2,2,1,1,368651.0,452.0,58.0,3278.0,29.0
85,2,0,0,1,743643.0,1733.0,71.0,1000.0,22.0
86,2,3,1,1,68915.0,50.0,60.0,15252.0,16.0
87,2,3,1,0,28043.0,125.0,67.0,155174.0,7.0
88,2,3,1,1,15622.0,44.0,,271066.0,31.0
89,2,3,1,1,515220.0,619.0,56.0,37606.0,18.0
90,2,3,0,1,614078.0,787.0,90.0,20826.0,27.0
91,2,1,1,1,799242.0,494.0,50.0,2000.0,20.0
92,2,1,0,2,234902.0,637.0,64.0,91446.0,26.0
93,2,0,0,2,603889.0,1415.0,70.0,8600.0,35.0
94,2,1,0,2,3775878.0,2158.0,70.0,111618.0,22.0
95,2,0,1,2,260336.0,588.0,66.0,5000.0,17.0
96,2,2,1,1,68915.0,50.0,60.0,15252.0,16.0
97,2,0,0,2,21014113.0,13343.0,12.0,3381392.0,28.0
98,2,0,0,2,21014113.0,13343.0,12.0,3381392.0,28.0
99,2,0,1,2,1074345.0,1092.0,64.0,60000.0,31.0
100,2,3,0,2,1091069.0,1756.0,5.0,1062543.0,30.0
101,2,0,1,2,28868279.0,35352.0,74.0,904169.0,28.0
102,2,0,0,2,21014113.0,13343.0,12.0,3381392.0,28.0
103,2,3,1,1,227603.0,206.0,49.0,29995.0,17.0
104,2,2,0,2,2999516.0,3603.0,,48084.0,30.0
105,2,0,0,1,42105.0,279.0,66.0,4410.0,19.0
106,2,0,0,2,21014113.0,13343.0,12.0,3381392.0,28.0
107,2,0,1,0,344858.0,673.0,76.0,165.0,19.0
108,2,0,0,1,368651.0,452.0,58.0,3278.0,29.0
109,2,0,1,2,676520.0,1497.0,69.0,7381.0,33.0
110,2,4,1,1,1765299.0,8822.0,40.0,11409.0,31.0
111,2,3,1,2,38970304.0,12183.0,75.0,491096.0,45.0
112,2,3,1,1,3291431.0,3093.0,62.0,666875.0,14.0
113,2,3,0,2,15778844.0,7287.0,4.0,562052.0,36.0
114,2,0,1,1,275566.0,444.0,44.0,500.0,12.0
115,2,3,1,1,449485.0,809.0,68.0,10607.0,39.0
116,2,3,1,1,15622.0,44.0,,271066.0,31.0
