,region,education,jobtype,cptype,sales,employees,aversalary,capital,pros_encoded
0,0,0,0,1,0.4241,1.6106,0.8696,53.1723,1.1
1,0,0,0,0,0.0777,3.712,-0.0435,-0.07,0.7
2,0,0,0,0,-0.0922,0.0823,0.7391,1.0019,0.7
3,0,3,1,2,0.6477,1.9055,-0.4348,0.4294,0.9
4,0,0,0,2,17.6008,9.094,-1.3043,76.3061,1.15
5,0,0,0,0,-0.0855,-0.0035,,-0.1129,0.55
6,0,0,0,2,17.6008,9.094,-1.3043,76.3061,1.15
7,0,1,1,2,7.2445,1.7758,1.4348,34.4936,0.9
8,0,0,1,1,0.15,1.0207,,0.2427,0.5
9,0,0,0,2,0.8799,0.8743,1.3478,0.0159,0.8
10,0,3,1,0,-0.0683,-0.0356,0.7826,-0.0354,-0.1
11,0,0,1,1,1.3593,5.9418,-0.087,0.1448,1.05
12,0,2,1,1,0.4531,0.8158,-0.1739,1.4671,0.15
13,0,0,0,0,,,,,-0.5
14,0,0,0,0,-0.1081,-0.1429,0.3913,1.0477,-0.15
15,0,2,0,0,-0.1258,-0.1827,-0.5217,0.6409,-0.05
16,0,0,0,0,,-0.2071,-0.5217,,-0.5
17,0,0,0,0,-0.1081,-0.1429,0.3913,1.0477,-0.15
18,0,1,0,2,1.5751,0.9566,,0.5696,0.85
19,0,0,0,0,-0.1131,-0.0265,-0.1304,-0.1107,0.2
20,0,3,0,0,-0.1283,-0.1422,-0.3478,-0.0084,-0.35
21,0,1,0,2,1.5751,0.9566,1.2609,0.5696,0.85
22,0,3,0,0,-0.1283,-0.1422,-0.3478,-0.0084,-0.35
23,0,0,0,0,-0.1078,0.1227,,-0.0992,-0.15
24,0,0,0,0,-0.13,0.0397,-0.0435,-0.1127,0.7
25,0,0,0,1,-0.1197,,-0.4348,0.0144,-0.25
26,0,0,0,0,,,,,-0.5
27,0,1,0,2,22.7143,,-0.2609,605.9868,0.65
28,0,0,1,0,,-0.2057,-0.5217,,-0.5
29,0,1,0,1,1.2285,0.5899,0.2609,0.2506,0.6
30,0,3,0,0,,-0.1952,-0.1304,,-0.35
31,0,0,0,0,,,,,-0.15
32,0,1,0,2,22.7143,,-0.2609,605.9868,0.65
33,0,0,0,0,-0.1277,-0.0976,,-0.104,-0.5
34,0,0,0,1,4.5712,,1.3913,6.4333,1.35
35,0,0,0,0,,-0.2071,,,-0.3
36,0,0,0,0,-0.13,0.0397,-0.0435,-0.1127,0.7
37,0,1,1,1,0.1944,2.3664,,-0.0995,0.55
38,0,2,0,0,-0.1245,-0.1931,0.087,-0.1084,-0.2
39,0,0,0,0,-0.13,0.0397,-0.0435,-0.1127,0.7
40,0,0,1,0,-0.1172,-0.1604,,-0.1073,-0.25
41,0,1,0,2,3.1277,8.7809,0.3913,0.1317,0.8
42,0,0,0,0,,-0.2057,,,-0.35
43,0,3,0,0,,,,,-0.5
44,0,0,0,2,2.0819,1.4028,0.087,0.6464,0.55
45,0,0,0,2,-0.0663,0.1143,0.087,-0.1033,-0.05
46,0,0,1,1,0.6564,1.6225,,0.7009,-0.05
47,0,0,0,0,,-0.113,-0.2174,-0.1128,-0.35
48,0,2,0,0,-0.1277,,,-0.1119,-0.2
49,0,1,1,0,,-0.2036,,,-0.45
50,0,0,1,1,1.5975,0.5871,0.8261,0.4315,0.8
51,0,3,0,1,0.0068,0.1394,0.7826,0.3469,-0.05
52,0,0,1,1,0.1142,0.0488,0.0,0.0192,0.2
53,0,0,1,0,-0.1294,-0.2071,-0.8696,-0.1096,-0.2
54,0,0,0,2,21.5506,20.7077,,2.147,0.65
55,0,1,0,2,21.5506,20.7077,,2.147,0.65
56,0,0,1,0,-0.1231,-0.0014,-0.087,-0.1128,0.05
57,0,0,0,0,,-0.2064,,,-0.5
58,0,0,1,0,,-0.205,,,-0.5
59,0,0,1,0,,-0.2001,-0.087,,-0.5
60,0,0,0,1,-0.1123,-0.1743,0.087,0.7682,-0.1
61,0,2,0,0,,,,,-0.5
62,0,0,1,0,,,,,-0.35
63,0,0,0,0,-0.1205,-0.1778,-0.2174,-0.0873,-0.2
64,0,0,0,1,-0.0595,0.1199,-0.087,-0.0678,0.1
65,0,0,1,0,-0.1271,-0.1994,-0.6957,-0.104,-0.5
66,0,0,1,1,0.6564,1.6225,,0.7009,-0.05
67,0,0,0,0,,,-0.5217,-0.1107,-0.5
68,0,2,1,0,-0.1133,,-0.1304,-0.0671,-0.2
69,0,2,0,0,-0.1258,-0.1827,-0.5217,0.6409,-0.05
70,0,4,0,0,-0.1291,-0.2043,,-0.1119,0.15
71,0,1,1,0,-0.1302,-0.182,,0.0219,-0.1
72,0,3,0,0,0.2704,-0.2071,-0.1739,17.2311,0.15
73,0,2,1,0,-0.1291,-0.1436,0.087,-0.1037,-0.05
74,0,1,0,2,2.1978,3.2407,0.8261,0.806,1.05
75,0,1,0,2,-0.1258,-0.1827,-0.5217,0.6409,-0.05
76,0,0,0,0,,,,,-0.5
77,0,0,0,0,,,,,-0.5
78,0,0,0,0,,,,,-0.5
79,0,2,1,0,,,,,-0.5
80,0,0,0,0,,,,,-0.5
81,0,2,1,0,,,,,-0.5
82,0,0,0,0,,-0.2092,,,-0.45
83,0,0,0,1,0.0,0.2629,-0.3913,0.0486,-0.5
84,0,3,0,1,-0.0253,-0.0021,0.4783,-0.009,0.15
85,0,1,1,0,,,0.087,,-0.25
86,0,0,1,0,-0.1289,-0.1987,,,-0.5
87,0,0,1,1,0.6564,1.6225,,0.7009,-0.05
88,0,0,0,0,-0.1277,-0.0976,,-0.104,-0.5
89,0,3,0,1,-0.0461,0.288,0.6957,-0.0931,0.05
90,0,0,1,1,0.1142,0.0488,0.0,0.0192,0.2
91,0,0,1,0,-0.1198,-0.1415,-0.4348,-0.1062,-0.2
92,0,0,1,0,-0.1016,-0.0349,-0.2609,0.415,0.0
93,0,0,0,0,,,-0.5217,-0.1107,-0.5
94,0,0,1,0,,,-0.5217,-0.1107,-0.5
95,0,0,1,0,-0.1293,,-0.4783,-0.1128,0.05
96,0,0,1,0,,-0.2064,,,-0.5
97,0,0,0,1,-0.1205,-0.0913,-0.1739,,-0.5
98,0,0,0,1,-0.1205,-0.0913,-0.1739,,-0.5
99,0,0,0,1,-0.0595,0.0899,-0.087,-0.0678,0.1
100,0,0,1,0,-0.1076,-0.1604,-0.1739,-0.1119,-0.35
101,0,0,1,0,-0.1076,-0.1604,-0.1739,-0.1119,-0.35
102,0,0,0,0,-0.1272,-0.115,,-0.1128,-0.35
103,0,0,1,0,-0.1152,-0.1381,-0.4348,-0.0856,-0.15
104,0,1,1,0,-0.1241,-0.1883,0.0,-0.1017,-0.35
105,0,2,1,0,-0.1199,-0.1687,0.087,-0.0746,0.25
106,0,3,1,0,,,,,-0.45
107,0,0,1,0,,,,,-0.5
108,0,1,0,0,,-0.2078,,-0.1107,-0.3
109,0,0,1,0,,-0.2064,,,-0.5
110,0,0,1,0,,,,,-0.5
111,0,1,1,0,-0.1199,-0.1687,0.087,-0.0746,0.25
112,0,0,1,0,,-0.2071,,,-0.5
113,0,0,0,0,,-0.2085,,,-0.4
114,0,1,0,0,-0.1199,-0.1687,0.087,-0.0746,0.25
115,0,2,1,0,-0.1221,-0.2008,0.5652,0.0029,0.15
116,0,2,0,0,,,,,-0.5
117,0,0,1,0,,-0.2078,,,-0.5
118,0,1,1,0,-0.1198,-0.1415,-0.4348,-0.1062,-0.2
119,0,0,1,0,-0.1299,-0.2064,,-0.1119,-0.25
120,0,0,0,1,-0.0513,-0.0488,0.5217,-0.113,0.2
121,0,0,0,0,0.0777,3.712,-0.0435,-0.07,0.7
122,0,0,0,0,-0.0922,0.0823,0.7391,1.0019,0.7
123,0,3,1,2,0.6477,1.9055,-0.4348,0.4294,0.9
124,0,1,1,2,6.2378,5.7368,0.913,1.7381,1.05
125,0,0,0,1,-0.0513,-0.0488,0.5217,-0.113,0.2
126,0,3,1,2,0.8748,0.0983,0.7826,0.1557,1.8
127,0,3,1,1,0.0624,0.2482,0.6087,0.1062,0.65
128,0,1,0,2,10.2384,8.2705,-0.8261,2.5312,-0.25
129,0,0,0,2,0.1979,0.4441,0.8696,0.3346,0.85
130,0,0,1,1,0.8421,0.2984,0.8261,1.0863,0.55
131,0,3,1,2,2.4047,2.0366,,3.277,1.1
