,region,cpname,title,career,education,jobtype,cptype,sales,aversalary,employees,capital,pros
0,서울,대한무역투자진흥공사,2024년 전문직 / 공무직 채용공고,신입/경력(연차무관),학력무관,정규직,중소기업,"5,342억 8,400만원 (2022)","1,251 명 재직중","6,218만원
자세히보기",550억원,1000대-안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-매출 1000대 기업-인크루트 인증 우수기업-공기업 in 서울
1,서울,컴투스,모바일게임 e스포츠 담당자 (사원~대리급),신입/경력(연차무관),학력무관,정규직,중소기업,"5,342억 8,400만원 (2022)","1,251 명 재직중","6,218만원
자세히보기",550억원,KOSDAQ-구직자 인기기업-복지의 끝판왕-아침을 왜 굶어요?-자기계발비 지원 기업-보너스로 행복해요♥-내 출퇴근은 내 맘대로-아낌없이 주는 커피-집 걱정 안 하기-매출 1000대 기업-장기근속수당제공 기업-육아휴직 제공 기업-KOSDAQ 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
2,서울,한화에너지주식회사,"[한화에너지계열] 24년 대졸신입 통합채용(한화에너지, 한화임팩트, 한화토탈에너지스, 한화파워시스템 등)",신입,대졸이상,정규직,대기업,"8,477억 5,653만원 (2022)",409 명 재직중,"7,177만원
자세히보기","677억 1,334만원",1000대-한화그룹-성장판 열린 회사-구직자 인기기업-평균연봉 6천이상-지방에 위치한 대기업-매출 1000대 기업
3,부산,한국무역보험공사,한국무역보험공사 2024년 상반기 체험형 청년인턴 채용,신입/경력(연차무관),학력무관,인턴,중견기업,-,756 명 재직중,"6,664만원
자세히보기","1조 7,801억 3,480만원",우수기업-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업-인크루트 인증 우수기업-공기업 in 서울
4,부산,부산항만공사,부산항만공사 2024년 상반기 정규직(신입) 채용,신입,학력무관,정규직,중견기업,"3,381억 1,900만원 (2017)",227 명 재직중,"6,210만원
자세히보기","3조 8,745억 3,600만원",부산항만공사그룹-구직자 인기기업-복지의 끝판왕-집 걱정 안 하기-인크루트 인증 우수기업
5,부산,한국사회적기업진흥원,"2024 한국사회적기업진흥원 기간제근로자(사업전문직, 사업계약직, 육아휴직대체인력) 채용",신입/경력(연차무관),학력무관,계약직,소기업,"723억 1,737만원 (2022)",130 명 재직중,"5,341만원
자세히보기","57억 8,339만원",우수기업-성장판 열린 회사-채용에 적극적인 회사-인크루트 인증 우수기업
6,인천,한국무역보험공사,한국무역보험공사 2024년 상반기 체험형 청년인턴 채용,신입/경력(연차무관),학력무관,인턴,중견기업,-,756 명 재직중,"6,664만원
자세히보기","1조 7,801억 3,480만원",우수기업-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업-인크루트 인증 우수기업-공기업 in 서울
7,인천,한국사회적기업진흥원,2024년 한국사회적기업진흥원 일반직(사무행정) 및 기능직(비서 총무) 직원 채용,신입/경력(연차무관),학력무관,정규직,소기업,"723억 1,737만원 (2022)",130 명 재직중,"5,341만원
자세히보기","57억 8,339만원",우수기업-성장판 열린 회사-채용에 적극적인 회사-인크루트 인증 우수기업
8,인천,인천광역시서구시설관리공단,2024년 제1회 블라인드 통합채용 공고,신입/경력(연차무관),학력무관,정규직,대기업,"342억 2,089만원 (2020)",558 명 재직중,"4,708만원
자세히보기",7억원,공기업공공기관-성장판 열린 회사-채용에 적극적인 회사-복지의 끝판왕-지방에 위치한 대기업-보너스로 행복해요♥-거침없이 성장하는 회사
9,대전,한국사회적기업진흥원,2024년 한국사회적기업진흥원 일반직(사무행정) 및 기능직(비서 총무) 직원 채용,신입/경력(연차무관),학력무관,정규직,소기업,"723억 1,737만원 (2022)",130 명 재직중,"5,341만원
자세히보기","57억 8,339만원",우수기업-성장판 열린 회사-채용에 적극적인 회사-인크루트 인증 우수기업
10,대전,한국산업기술기획평가원,2024년 상반기 신입직원 채용공고,신입/경력(연차무관),학력무관,정규직외,중기업,"2조 9,256억 8,618만원 (2022)",420 명 재직중,"6,669만원
자세히보기","111억 4,880만원",1000대-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-매출 1조 클럽-평균연봉 6천이상-매출 1000대 기업-
11,대전,코레일관광개발(주),2024년 2차 공개경쟁 채용 모집공고,신입/경력(연차무관),학력무관,정규직외,중기업,"2조 9,256억 8,618만원 (2022)",420 명 재직중,"6,669만원
자세히보기","111억 4,880만원",한국철도공사그룹-구직자 인기기업-채용에 적극적인 회사-인크루트 인증 우수기업-공기업 in 서울
12,광주,우리은행,파트타이머 인재풀 등록,신입/경력(연차무관),학력무관,계약직,대기업,"21조 141억 1,300만원 (2023)","13,343 명 재직중","7,469만원
자세히보기","3조 3,813억 9,200만원",KOSPI-우수기업-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-평균연봉 6천이상-신입연봉이 4천이상-집 걱정 안 하기-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
13,광주,금호타이어,금호타이어 OE상주원 신규채용,경력(연차무관),학력무관,정규직,대기업,"21조 141억 1,300만원 (2023)","13,343 명 재직중","7,469만원
자세히보기","3조 3,813억 9,200만원",1000대-KOSPI-구직자 인기기업-복지의 끝판왕-매출 1조 클럽-HOT한 인기기업-평균연봉 6천이상-매출 1000대 기업--
14,광주,우리은행,[광주전남] 영업점 파트타이머 인재 Pool 상시 등록,신입/경력(연차무관),학력무관,알바,대기업,"21조 141억 1,300만원 (2023)","13,343 명 재직중","7,469만원
자세히보기","3조 3,813억 9,200만원",KOSPI-우수기업-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-평균연봉 6천이상-신입연봉이 4천이상-집 걱정 안 하기-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
15,대구,(주)영원무역,3월 경력/신입 상시채용공고,신입/경력(연차무관),고졸,계약직,대기업,"21조 141억 1,300만원 (2023)","13,343 명 재직중","7,469만원
자세히보기","3조 3,813억 9,200만원",1000대-KOSPI-복지의 끝판왕-매출 1조 클럽-보너스로 행복해요♥-집 걱정 안 하기-매출 1000대 기업-장기근속수당제공 기업-KOSPI 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
16,대구,한국무역보험공사,한국무역보험공사 2024년 상반기 체험형 청년인턴 채용,신입/경력(연차무관),학력무관,인턴,중견기업,-,756 명 재직중,"6,664만원
자세히보기","1조 7,801억 3,480만원",우수기업-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업-인크루트 인증 우수기업-공기업 in 서울
17,대구,한국산업기술기획평가원,2024년 상반기 신입직원 채용공고,신입/경력(연차무관),학력무관,정규직외,중기업,"2조 9,256억 8,618만원 (2022)",420 명 재직중,"6,669만원
자세히보기","111억 4,880만원",1000대-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-매출 1조 클럽-평균연봉 6천이상-매출 1000대 기업-
18,울산,한화에너지주식회사,"[한화에너지계열] 24년 대졸신입 통합채용(한화에너지, 한화임팩트, 한화토탈에너지스, 한화파워시스템 등)",신입,대졸이상,정규직,대기업,"8,477억 5,653만원 (2022)",409 명 재직중,"7,177만원
자세히보기","677억 1,334만원",1000대-한화그룹-성장판 열린 회사-구직자 인기기업-평균연봉 6천이상-지방에 위치한 대기업-매출 1000대 기업
19,울산,한국가스안전공사,2024년 한국가스안전공사 정규직 채용 공고,신입/경력(연차무관),학력무관,정규직외,대기업,"1,764억 7,847만원 (2016)","1,265 명 재직중","6,315만원
자세히보기","551억 4,154만원",공기업공공기관-안정적인 장수 회사-구직자 인기기업-지방에 위치한 대기업
20,울산,한국해양교통안전공단,"신규직원(정규직, 공무직 및 계약직) 채용 공고(제2차)",신입/경력(연차무관),초대졸이상,정규직외,중기업,"402억 9,196만원 (2017)",386 명 재직중,"5,769만원
자세히보기","3억 2,881만원",우수기업-인크루트 인증 우수기업-휴식까지 챙겨줘요!
21,세종,한화에너지주식회사,"[한화에너지계열] 24년 대졸신입 통합채용(한화에너지, 한화임팩트, 한화토탈에너지스, 한화파워시스템 등)",신입,대졸이상,정규직,대기업,"8,477억 5,653만원 (2022)",409 명 재직중,"7,177만원
자세히보기","677억 1,334만원",1000대-한화그룹-성장판 열린 회사-구직자 인기기업-평균연봉 6천이상-지방에 위치한 대기업-매출 1000대 기업
22,세종,농림수산식품교육문화정보원,2024년 제2차 직원 채용공고,신입/경력(연차무관),학력무관,계약직외,중기업,"1,318억 4,883만원 (2019)",170 명 재직중,"4,608만원
자세히보기","25억 9,936만원",우수기업-구직자 인기기업-인크루트 인증 우수기업
23,세종,한국사회적기업진흥원,"2024 한국사회적기업진흥원 기간제근로자(사업전문직, 사업계약직, 육아휴직대체인력) 채용",신입/경력(연차무관),학력무관,계약직,소기업,"723억 1,737만원 (2022)",130 명 재직중,"5,341만원
자세히보기","57억 8,339만원",우수기업-성장판 열린 회사-채용에 적극적인 회사-인크루트 인증 우수기업
24,경기,SK하이닉스(주),2024 상반기 SK하이닉스 신입사원 채용,신입,대졸이상,정규직,대기업,"27조 6,399억 9,700만원 (2023)","32,075 명 재직중","7,647만원
자세히보기","3조 6,576억 5,200만원",1000대-SK그룹-안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-매출 1조 클럽-HOT한 인기기업-평균연봉 6천이상-보너스로 행복해요♥-집 걱정 안 하기-매출 1000대 기업-인크루트 인증 우수기업-KOSPI 상장
25,경기,한화에너지주식회사,"[한화에너지계열] 24년 대졸신입 통합채용(한화에너지, 한화임팩트, 한화토탈에너지스, 한화파워시스템 등)",신입,대졸이상,정규직,대기업,"8,477억 5,653만원 (2022)",409 명 재직중,"7,177만원
자세히보기","677억 1,334만원",1000대-한화그룹-성장판 열린 회사-구직자 인기기업-평균연봉 6천이상-지방에 위치한 대기업-매출 1000대 기업
26,경기,(주)영원무역,3월 경력/신입 상시채용공고,신입/경력(연차무관),고졸,계약직,대기업,"8,477억 5,653만원 (2022)",409 명 재직중,"7,177만원
자세히보기","677억 1,334만원",1000대-KOSPI-복지의 끝판왕-매출 1조 클럽-보너스로 행복해요♥-집 걱정 안 하기-매출 1000대 기업-장기근속수당제공 기업-KOSPI 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
