,region,education,jobtype,cptype,sales,employees,aversalary,capital,pros
0,서울,0,3,1,53428400,"1,251",6218,5500000,1000대-안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-매출 1000대 기업-인크루트 인증 우수기업-공기업 in 서울
1,서울,1,2,1,53428400,"1,251",-,5500000,1000대-KOSPI-복지의 끝판왕-매출 1조 클럽-보너스로 행복해요♥-집 걱정 안 하기-매출 1000대 기업-장기근속수당제공 기업---
2,서울,4,3,3,1837143700,"19,824",7656,156449900,1000대-KT그룹-안정적인 장수 회사-구직자 인기기업-매출 1조 클럽-HOT한 인기기업-평균연봉 6천이상-신입연봉이 4천이상-매출 1000대 기업-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
3,서울,4,3,3,84775653,409,7177,6771334,1000대-한화그룹-성장판 열린 회사-구직자 인기기업-평균연봉 6천이상-지방에 위치한 대기업-매출 1000대 기업
4,서울,0,3,3,84775653,409,-,6771334,KOSDAQ-구직자 인기기업-복지의 끝판왕-아침을 왜 굶어요?-자기계발비 지원 기업-보너스로 행복해요♥-내 출퇴근은 내 맘대로-아낌없이 주는 커피-집 걱정 안 하기-매출 1000대 기업-장기근속수당제공 기업-육아휴직 제공 기업-KOSDAQ 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
5,부산,0,1,2,,756,6664,178013480,우수기업-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업-인크루트 인증 우수기업-공기업 in 서울
6,부산,0,3,2,33811900,227,6210,387453600,부산항만공사그룹-구직자 인기기업-복지의 끝판왕-집 걱정 안 하기-인크루트 인증 우수기업
7,부산,0,2,3,344626273,"3,897",7218,1766660,1000대-삼성그룹-구직자 인기기업-채용에 적극적인 회사-매출 1조 클럽-평균연봉 6천이상-보너스로 행복해요♥-매출 1000대 기업-
8,부산,0,3,3,643104669,"2,473",2683,150000000,1000대-안정적인 장수 회사-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-HOT한 인기기업-집 걱정 안 하기-매출 1000대 기업-인크루트 인증 우수기업-빵빵한 구내식당
9,부산,0,3,3,643104669,"2,473",-,150000000,한국철도공사그룹-구직자 인기기업-채용에 적극적인 회사-인크루트 인증 우수기업-공기업 in 서울
10,인천,0,1,2,,756,6664,178013480,우수기업-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업-인크루트 인증 우수기업-공기업 in 서울
11,인천,0,3,3,3422089,558,4708,70000,공기업공공기관-성장판 열린 회사-채용에 적극적인 회사-복지의 끝판왕-지방에 위치한 대기업-보너스로 행복해요♥-거침없이 성장하는 회사
12,인천,4,3,2,328784212,"1,161",7322,55531141,1000대-KOSPI-안정적인 장수 회사-성장판 열린 회사-복지의 끝판왕-매출 1조 클럽-평균연봉 6천이상-집 걱정 안 하기-매출 1000대 기업-장기근속수당제공 기업-KOSPI 상장-휴식까지 챙겨줘요!
13,인천,0,3,3,38879433,937,5006,198512,셀트리온그룹-성장판 열린 회사-구직자 인기기업-복지의 끝판왕-지방에 위치한 대기업-보너스로 행복해요♥-거침없이 성장하는 회사-장기근속수당제공 기업-KOSDAQ 상장-휴식까지 챙겨줘요!
14,인천,4,2,3,38879433,937,-,198512,1000대-셀트리온그룹-안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-복지의 끝판왕-매출 1조 클럽-HOT한 인기기업-지방에 위치한 대기업-보너스로 행복해요♥-잘나가는 의료·바이오기업-거침없이 성장하는 회사-매출 1000대 기업-장기근속수당제공 기업-KOSPI 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
15,대전,0,3,1,292568618,420,6669,1114880,1000대-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-매출 1조 클럽-평균연봉 6천이상-매출 1000대 기업-
16,대전,0,2,3,344626273,"3,897",7218,1766660,1000대-삼성그룹-구직자 인기기업-채용에 적극적인 회사-매출 1조 클럽-평균연봉 6천이상-보너스로 행복해요♥-매출 1000대 기업-
17,대전,0,3,3,344626273,"3,897",-,1766660,한국철도공사그룹-구직자 인기기업-채용에 적극적인 회사-인크루트 인증 우수기업-공기업 in 서울
18,대전,4,3,3,497899285,"6,917",6920,26565000,1000대-한화그룹-안정적인 장수 회사-구직자 인기기업-복지의 끝판왕-매출 1조 클럽-HOT한 인기기업-평균연봉 6천이상---
19,대전,0,3,3,135834038,"2,437",4865,531485,1000대-하림그룹-성장판 열린 회사-구직자 인기기업-매출 1조 클럽-지방에 위치한 대기업-거침없이 성장하는 회사-매출 1000대 기업-
20,광주,0,0,3,211411300,"13,343",7469,338139200,KOSPI-우수기업-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-HOT한 인기기업-평균연봉 6천이상-신입연봉이 4천이상----
