,region,education,jobtype,cptype,sales,employees,aversalary,capital,pros
0,서울,4,3,2,180908204,"2,036",9516,7781959,안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-복지의 끝판왕-매출 1조 클럽-HOT한 인기기업-평균연봉 6천이상-잘나가는 의료·바이오기업-집 걱정 안 하기-매출 1000대 기업-장기근속수당제공 기업-KOSPI 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
1,서울,4,3,3,60628188,"5,415",2858,1297880,성장판 열린 회사-복지의 끝판왕-HOT한 인기기업-보너스로 행복해요♥-장기근속수당제공 기업-KOSPI 상장
2,서울,4,1,3,60628188,"5,415",-,1297880,안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-HOT한 인기기업-보너스로 행복해요♥-집 걱정 안 하기-거침없이 성장하는 회사-매출 1000대 기업-장기근속수당제공 기업-KOSPI 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
3,서울,0,1,3,60628188,"5,415",-,1297880,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-매출 1조 클럽-HOT한 인기기업-매출 1000대 기업-인크루트 인증 우수기업
4,서울,0,3,3,32879127,"3,241",5739,208129,성장판 열린 회사-채용에 적극적인 회사-HOT한 인기기업-지방에 위치한 대기업
5,서울,0,3,2,2547000000,"18,000",-,-,안정적인 장수 회사-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업
6,서울,0,3,2,2547000000,"18,000",-,-,안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-인크루트 인증 우수기업-공기업 in 서울
7,서울,0,3,2,2547000000,"18,000",-,-,구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-HOT한 인기기업-평균연봉 6천이상-지방에 위치한 대기업-보너스로 행복해요♥-집 걱정 안 하기-매출 1000대 기업-장기근속수당제공 기업-빵빵한 구내식당-휴식까지 챙겨줘요!
8,서울,0,3,1,-,-,-,-,구직자 인기기업-채용에 적극적인 회사-인크루트 인증 우수기업
9,서울,0,3,1,-,-,-,-,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-집 걱정 안 하기-매출 1000대 기업-인크루트 인증 우수기업-공기업 in 서울
