,region,cpname,title,career,education,jobtype,cptype,sales,employees,aversalary,capital,pros
0,경기,(주)유한양행,2024 각 부문별 사원 모집,신입/경력1년↑,대졸이상,정규직,중견기업,"1조 8,090억 8,204만원 (2023)","2,036 명 재직중","9,516만원
자세히보기","778억 1,959만원",안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-복지의 끝판왕-매출 1조 클럽-HOT한 인기기업-평균연봉 6천이상-잘나가는 의료·바이오기업-집 걱정 안 하기-매출 1000대 기업-장기근속수당제공 기업-KOSPI 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
1,경기,(재)양평문화재단,2024년 제1회 (재)양평문화재단 직원 채용,신입/경력(연차무관),학력무관,정규직,중견기업,"20억 1,310만원 (2022)",-,"3,674만원
자세히보기","1,000만원",
2,경기,공군본부,2024년도 공군 주관 일반군무원&장애인 구분모집 채용 공고,신입/경력(연차무관),학력무관,정규직,중기업,-,-,-,-,구직자 인기기업-채용에 적극적인 회사-인크루트 인증 우수기업
3,경기,한국세라믹기술원,한국세라믹기술원 2024년도 제2분기 채용공고,신입/경력(연차무관),학력무관,정규직외,중견기업,"934억 6,146만원 (2022)",230 명 재직중,"5,426만원
자세히보기",100만원,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-인크루트 인증 우수기업
4,경기,신용협동조합 공동채용,2024년 상반기 신용협동조합 신입직원 공동채용 공고,신입,학력무관,정규직,중견기업,"25조 4,700억원 (2022)","18,000 명 재직중",-,-,안정적인 장수 회사-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업
5,경기,코레일테크(주),2024년 하반기 공무직사원 공개경쟁채용 모집공고,신입/경력(연차무관),학력무관,계약직,중소기업,"2,463억 6,017만원 (2023)","5,624 명 재직중","4,166만원
자세히보기",19억 400만원,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업-인크루트 인증 우수기업-KOSPI 상장
6,경기,쿠쿠홀딩스(주),2024년 쿠쿠 경력 및 신입 사원 모집,신입/경력(연차무관),고졸이상,정규직,중견기업,"1조 7,800억원 (2023)","1,570 명 재직중","7,815만원
자세히보기",-,안정적인 장수 회사-성장판 열린 회사-채용에 적극적인 회사-거침없이 성장하는 회사-인크루트 인증 우수기업-KOSPI 상장
7,경기,한국석유관리원,2024년 한국석유관리원 체험형 청년인턴 채용공고,신입/경력(연차무관),학력무관,인턴,중기업,"449억 9,319만원 (2022)",418 명 재직중,"5,928만원
자세히보기","493억 3,250만원",안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업-인크루트 인증 우수기업
8,경기,(주)디앤오,[LG그룹 D&O] 곤지암리조트 마케팅 대졸 신입사원 수시채용 (PB상품 기획/브랜딩),신입,대졸이상,정규직,대기업,"1,932억 3,600만원 (2022)","1,026 명 재직중","4,589만원
자세히보기",258억원,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-HOT한 인기기업-보너스로 행복해요♥-거침없이 성장하는 회사-대기업 in 서울-장기근속수당제공 기업-빵빵한 구내식당-휴식까지 챙겨줘요!
9,경기,KB신용정보(주),2024년 신입 및 경력사원 채용,신입/경력(연차무관),학력무관,정규직,중견기업,"364억 6,900만원 (2022)",122 명 재직중,"6,359만원
자세히보기","62억 6,200만원",성장판 열린 회사-평균연봉 6천이상
