,region,cpname,title,career,education,jobtype,cptype,sales,employees,aversalary,capital,pros
0,경남,한국세라믹기술원,한국세라믹기술원 2024년도 제2분기 채용공고,신입/경력(연차무관),학력무관,정규직외,중견기업,"934억 6,146만원 (2022)",230 명 재직중,"5,426만원
자세히보기",100만원,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-인크루트 인증 우수기업
1,경남,에이치디현대미포 주식회사,하이테크니션 105기 모집,신입/경력(연차무관),학력무관,교육생(연수생),대기업,"4조 12억 9,167만원 (2023)","3,211 명 재직중","7,086만원
자세히보기","1,997억 1,074만원",안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-매출 1조 클럽-평균연봉 6천이상-지방에 위치한 대기업-매출 1000대 기업-KOSPI 상장
2,경남,쿠쿠홀딩스(주),2024년 쿠쿠 경력 및 신입 사원 모집,신입/경력(연차무관),고졸이상,정규직,중견기업,"1조 7,800억원 (2023)","1,570 명 재직중","7,815만원
자세히보기",-,안정적인 장수 회사-성장판 열린 회사-채용에 적극적인 회사-거침없이 성장하는 회사-인크루트 인증 우수기업-KOSPI 상장
3,경남,(재)경남테크노파크,2024년 (재)경남테크노파크 채용(기간제) 공고,신입/경력(연차무관),학력무관,계약직,중기업,-,241 명 재직중,-,-,채용에 적극적인 회사-복지의 끝판왕-보너스로 행복해요♥-내 출퇴근은 내 맘대로-육아휴직 제공 기업-빵빵한 구내식당-휴식까지 챙겨줘요!
4,경남,한국승강기안전공단,"2024년도 상반기 채용[채용형인턴,승강기검사(고령자)]",신입/경력(연차무관),학력무관,계약직외,중소기업,"1,356억 4,657만원 (2022)","1,592 명 재직중","5,461만원
자세히보기","18억 5,200만원",성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-보너스로 행복해요♥-집 걱정 안 하기-인크루트 인증 우수기업-휴식까지 챙겨줘요!
5,경남,한국저작권위원회,2024년 제2차 직원 채용 공고,신입/경력(연차무관),학력무관,계약직,중소기업,"380억 8,346만원 (2022)",168 명 재직중,"5,400만원
자세히보기","88억 2,813만원",구직자 인기기업-인크루트 인증 우수기업-육아휴직 제공 기업
6,경남,한국세라믹기술원,한국세라믹기술원 2024년도 제2분기 채용공고(정규직),신입/경력(연차무관),학력무관,정규직,중견기업,"934억 6,146만원 (2022)",230 명 재직중,"5,426만원
자세히보기",100만원,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-인크루트 인증 우수기업
7,경남,에프알엘코리아,유니클로 신입사원(UMC) 채용,신입,대졸이상,정규직,대기업,"9,219억 4,123만원 (2023)","3,033 명 재직중","3,277만원
자세히보기",240억원,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-거침없이 성장하는 회사-매출 1000대 기업-인크루트 인증 우수기업-대기업 in 서울-육아휴직 제공 기업
8,경남,한국세라믹기술원,한국세라믹기술원 2024년도 제2분기 채용공고(체험형 인턴),신입/경력(연차무관),학력무관,인턴,중견기업,"934억 6,146만원 (2022)",230 명 재직중,"5,426만원
자세히보기",100만원,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-인크루트 인증 우수기업
9,경남,우리은행,파트타이머 인재풀 등록,신입/경력(연차무관),학력무관,계약직,대기업,"21조 141억 1,300만원 (2023)","13,343 명 재직중","11,230만원
자세히보기","3조 3,813억 9,200만원",구직자 인기기업-복지의 끝판왕-HOT한 인기기업-평균연봉 6천이상-신입연봉이 4천이상-집 걱정 안 하기-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
