,region,cpname,title,career,education,jobtype,cptype,sales,employees,aversalary,capital,pros
0,경북,신용협동조합 공동채용,2024년 상반기 신용협동조합 신입직원 공동채용 공고,신입,학력무관,정규직,중견기업,"25조 4,700억원 (2022)","18,000 명 재직중",-,-,안정적인 장수 회사-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업
1,경북,에이치디현대미포 주식회사,하이테크니션 105기 모집,신입/경력(연차무관),학력무관,교육생(연수생),대기업,"4조 12억 9,167만원 (2023)","3,211 명 재직중","7,086만원
자세히보기","1,997억 1,074만원",안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-매출 1조 클럽-평균연봉 6천이상-지방에 위치한 대기업-매출 1000대 기업-KOSPI 상장
2,경북,기초과학연구원,제2024-1회 기초과학연구원 직원 채용 공고,신입,학력무관,정규직,중견기업,"3,212억 6,101만원 (2022)",870 명 재직중,"6,092만원
자세히보기",100만원,구직자 인기기업-채용에 적극적인 회사-보너스로 행복해요♥-인크루트 인증 우수기업
3,경북,한국석유관리원,2024년 한국석유관리원 체험형 청년인턴 채용공고,신입/경력(연차무관),학력무관,인턴,중기업,"449억 9,319만원 (2022)",418 명 재직중,"5,928만원
자세히보기","493억 3,250만원",안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업-인크루트 인증 우수기업
4,경북,에프알엘코리아,유니클로 신입사원(UMC) 채용,신입,대졸이상,정규직,대기업,"9,219억 4,123만원 (2023)","3,033 명 재직중","3,277만원
자세히보기",240억원,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-거침없이 성장하는 회사-매출 1000대 기업-인크루트 인증 우수기업-대기업 in 서울-육아휴직 제공 기업
5,경북,우리은행,파트타이머 인재풀 등록,신입/경력(연차무관),학력무관,계약직,대기업,"21조 141억 1,300만원 (2023)","13,343 명 재직중","11,230만원
자세히보기","3조 3,813억 9,200만원",구직자 인기기업-복지의 끝판왕-HOT한 인기기업-평균연봉 6천이상-신입연봉이 4천이상-집 걱정 안 하기-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
6,경북,(주)선진,2024 선진 2분기 수시 채용,신입/경력1년↑,대졸이상,정규직,대기업,"1조 1,911억 171만원 (2023)",441 명 재직중,"6,094만원
자세히보기","118억 8,980만원",안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-평균연봉 6천이상-보너스로 행복해요♥-집 걱정 안 하기-매출 1000대 기업-인크루트 인증 우수기업-장기근속수당제공 기업-KOSPI 상장-휴식까지 챙겨줘요!
7,경북,동국제강(주),동국제강 포항 인사/노무부문 신입사원 채용,신입,고졸이상,정규직,중견기업,"156억 2,226만원 (2023)",44 명 재직중,-,"2,710억 6,676만원",안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-매출 1조 클럽-매출 1000대 기업-인크루트 인증 우수기업-KOSPI 상장
8,경북,(주)포스코퓨처엠,2024년 상반기 생산기술직(현장근무) 신입사원(채용형 인턴),신입,고졸이상,인턴,대기업,"4조 4,572억 82만원 (2023)","2,760 명 재직중","8,359만원
자세히보기","387억 3,161만원",안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-HOT한 인기기업-아침을 왜 굶어요?-평균연봉 6천이상-지방에 위치한 대기업-자기계발비 지원 기업-보너스로 행복해요♥-내 출퇴근은 내 맘대로-아낌없이 주는 커피-아이와 함께 출근해요-집 걱정 안 하기-거침없이 성장하는 회사-매출 1000대 기업-인크루트 인증 우수기업-장기근속수당제공 기업-육아휴직 제공 기업-KOSPI 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
9,경북,우리은행,[대구경북동부] 영업점 파트타이머 인재 Pool 상시 등록,신입/경력(연차무관),학력무관,알바,대기업,"21조 141억 1,300만원 (2023)","13,343 명 재직중","11,230만원
자세히보기","3조 3,813억 9,200만원",구직자 인기기업-복지의 끝판왕-HOT한 인기기업-평균연봉 6천이상-신입연봉이 4천이상-집 걱정 안 하기-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
