,region,cpname,title,career,education,jobtype,cptype,sales,employees,aversalary,capital,pros
0,광주,신용협동조합 공동채용,2024년 상반기 신용협동조합 신입직원 공동채용 공고,신입,학력무관,정규직,중견기업,"25조 4,700억원 (2022)","18,000 명 재직중",-,-,안정적인 장수 회사-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업
1,광주,코레일테크(주),2024년 하반기 공무직사원 공개경쟁채용 모집공고,신입/경력(연차무관),학력무관,계약직,중소기업,"2,463억 6,017만원 (2023)","5,624 명 재직중","4,166만원
자세히보기",19억 400만원,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업-인크루트 인증 우수기업-KOSPI 상장
2,광주,한국석유관리원,2024년 한국석유관리원 체험형 청년인턴 채용공고,신입/경력(연차무관),학력무관,인턴,중기업,"449억 9,319만원 (2022)",418 명 재직중,"5,928만원
자세히보기","493억 3,250만원",안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업-인크루트 인증 우수기업
3,광주,우리은행,파트타이머 인재풀 등록,신입/경력(연차무관),학력무관,계약직,대기업,"21조 141억 1,300만원 (2023)","13,343 명 재직중","11,230만원
자세히보기","3조 3,813억 9,200만원",구직자 인기기업-복지의 끝판왕-HOT한 인기기업-평균연봉 6천이상-신입연봉이 4천이상-집 걱정 안 하기-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
4,광주,한국재정정보원,2024년도 한국재정정보원 1차 채용 (체험형 청년인턴),신입,학력무관,인턴,중소기업,530억 59만원 (2021),295 명 재직중,-,500만원,성장판 열린 회사-구직자 인기기업-HOT한 인기기업-인크루트 인증 우수기업-공기업 in 서울
5,광주,코오롱제약(주),2024년 코오롱제약 5월 수시채용,신입/경력(연차무관),고졸이상,정규직외,대기업,"1,350억 1,913만원 (2023)",441 명 재직중,"6,844만원
자세히보기",120억원,안정적인 장수 회사-인크루트 인증 우수기업-빵빵한 구내식당
6,광주,에프알엘코리아,유니클로 신입사원(UMC) 채용,신입,대졸이상,정규직,대기업,"9,219억 4,123만원 (2023)","3,033 명 재직중","3,277만원
자세히보기",240억원,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-거침없이 성장하는 회사-매출 1000대 기업-인크루트 인증 우수기업-대기업 in 서울-육아휴직 제공 기업
7,광주,(주)경동나비엔,2024년 경동 상반기 수시채용,신입/경력(연차무관),대졸이상,정규직,중견기업,"9,950억 5,516만원 (2023)","1,626 명 재직중","5,037만원
자세히보기","145억 6,859만원",안정적인 장수 회사-성장판 열린 회사-매출 1000대 기업-KOSPI 상장
8,광주,우리은행,[광주전남] 영업점 파트타이머 인재 Pool 상시 등록,신입/경력(연차무관),학력무관,알바,대기업,"21조 141억 1,300만원 (2023)","13,343 명 재직중","11,230만원
자세히보기","3조 3,813억 9,200만원",구직자 인기기업-복지의 끝판왕-HOT한 인기기업-평균연봉 6천이상-신입연봉이 4천이상-집 걱정 안 하기-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
9,광주,매일유업(주),2024년 인턴채용 (채용연계형),신입/경력(연차무관),대졸이상,인턴,중견기업,"1조 7,105억 1,083만원 (2023)","2,053 명 재직중","7,627만원
자세히보기","39억 2,181만원",성장판 열린 회사-구직자 인기기업-매출 1조 클럽-매출 1000대 기업-인크루트 인증 우수기업-KOSDAQ 상장
10,광주,(주)이티에스,2024년 부문별 신입/경력직 모집,신입/경력(연차무관),학력무관,정규직외,중소기업,"945억 9,424만원 (2023)",168 명 재직중,"5,012만원
자세히보기",9억 474만원,채용에 적극적인 회사-인크루트 인증 우수기업
11,광주,삼성전자서비스,안전 / 수리 보조 인력 채용(서부지사),신입/경력(연차무관),고졸이상,계약직,대기업,"2조 210억 7,862만원 (2022)","1,672 명 재직중","7,110만원
자세히보기",302억 299만원,구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-평균연봉 6천이상-보너스로 행복해요♥-매출 1000대 기업-장기근속수당제공 기업-휴식까지 챙겨줘요!
12,광주,(재)광주광역시사회서비스원,2024년 제7차 직원채용 공고(돌봄관리사 및 광역전담사회복지사),신입/경력(연차무관),학력무관,계약직,대기업,"174억 6,288만원 (2022)",31 명 재직중,"5,460만원
자세히보기","12억 3,800만원",성장판 열린 회사-거침없이 성장하는 회사
13,광주,한국맥도날드유한회사,2024년도 2회차 레스토랑 신입 매니저 공채 (전국),신입,초대졸이상,정규직,중견기업,"6,913억 4,904만원 (2016)","1,470 명 재직중","3,830만원
자세히보기","699억 1,512만원",안정적인 장수 회사-채용에 적극적인 회사-매출 1000대 기업
14,광주,(재)광주광역시사회서비스원,"2024년 제6차 직원채용 공고(연구보조원, 다시서기종합지원센터, 어린이집)",신입/경력(연차무관),학력무관,계약직,중견기업,"174억 6,288만원 (2022)",31 명 재직중,"5,460만원
자세히보기","12억 3,800만원",성장판 열린 회사-거침없이 성장하는 회사
15,광주,삼성 청년 SW 아카데미,삼성 청년 SW 아카데미[SSAFY] 12기 모집,신입/경력(연차무관),대졸이상,교육생(연수생),대기업,"3,405억 487만원 (2023)",700 명 재직중,-,"29억 6,339만원",성장판 열린 회사-채용에 적극적인 회사-대기업 in 서울
16,광주,삼성생명보험(주),기업재무 컨설턴트 모집,신입/경력(연차무관),학력무관,위촉직,대기업,"25조 6,952억 3,300만원 (2010)","6,700 명 재직중",-,"1,000억원",안정적인 장수 회사-구직자 인기기업-채용에 적극적인 회사-대기업 in 서울-KOSPI 상장
17,광주,에어리퀴드코리아,의료장비 물류 관리자 (광주 및 전주),신입/경력(연차무관),초대졸이상,정규직,중견기업,"3,613억 1,630만원 (2023)",152 명 재직중,"6,812만원
자세히보기","558억 1,179만원",장기근속수당제공 기업
18,광주,(주)이지서티,(주)이지서티 영업지원 및 고객지원 마케팅직군 채용 공고,신입/경력(연차무관),대졸이상,정규직,중소기업,134억 118만원 (2022),82 명 재직중,"4,520만원
자세히보기","8억 8,000만원",성장판 열린 회사-복지의 끝판왕-집 걱정 안 하기-거침없이 성장하는 회사-인크루트 인증 우수기업-장기근속수당제공 기업-육아휴직 제공 기업
19,광주,삼성전자서비스,안전 / 수리 보조 인력 채용 (전국),신입,고졸이상,계약직외,대기업,"2조 210억 7,862만원 (2022)","1,672 명 재직중",-,302억 299만원,구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-평균연봉 6천이상-보너스로 행복해요♥-매출 1000대 기업-장기근속수당제공 기업-휴식까지 챙겨줘요!
