,region,cpname,title,career,education,jobtype,cptype,sales,employees,aversalary,capital,pros
0,대구,대구신용보증재단,2024년 대구신용보증재단 일반직원 채용,신입/경력(연차무관),학력무관,정규직,중기업,"274억 9,991만원 (2022)",97 명 재직중,"5,393만원
자세히보기","514억 2,650만원",복지의 끝판왕-집 걱정 안 하기-인크루트 인증 우수기업
1,대구,신용협동조합 공동채용,2024년 상반기 신용협동조합 신입직원 공동채용 공고,신입,학력무관,정규직,중견기업,"25조 4,700억원 (2022)","18,000 명 재직중",-,-,안정적인 장수 회사-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업
2,대구,대구도시개발공사,2024년도 신입사원 채용공고,신입/경력(연차무관),학력무관,정규직,중기업,"3,305억 6,425만원 (2020)",226 명 재직중,"6,209만원
자세히보기","2,722억 9,716만원",안정적인 장수 회사-성장판 열린 회사-채용에 적극적인 회사-HOT한 인기기업-거침없이 성장하는 회사-인크루트 인증 우수기업
3,대구,한국공항공사,2024년도 상반기 신입직원 등 채용 공고,신입/경력(연차무관),학력무관,정규직외,중견기업,"6,569억 5,188만원 (2022)","2,610 명 재직중","6,244만원
자세히보기","2조 3,577억 6,610만원",성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업-집 걱정 안 하기-매출 1000대 기업-인크루트 인증 우수기업-공기업 in 서울
4,대구,우리은행,파트타이머 인재풀 등록,신입/경력(연차무관),학력무관,계약직,대기업,"21조 141억 1,300만원 (2023)","13,343 명 재직중","11,230만원
자세히보기","3조 3,813억 9,200만원",구직자 인기기업-복지의 끝판왕-HOT한 인기기업-평균연봉 6천이상-신입연봉이 4천이상-집 걱정 안 하기-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
5,대구,(주)선진,2024 선진 2분기 수시 채용,신입/경력1년↑,대졸이상,정규직,대기업,"1조 1,911억 171만원 (2023)",441 명 재직중,"6,094만원
자세히보기","118억 8,980만원",안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-평균연봉 6천이상-보너스로 행복해요♥-집 걱정 안 하기-매출 1000대 기업-인크루트 인증 우수기업-장기근속수당제공 기업-KOSPI 상장-휴식까지 챙겨줘요!
6,대구,한국재정정보원,2024년도 한국재정정보원 1차 채용 (체험형 청년인턴),신입,학력무관,인턴,중소기업,530억 59만원 (2021),295 명 재직중,-,500만원,성장판 열린 회사-구직자 인기기업-HOT한 인기기업-인크루트 인증 우수기업-공기업 in 서울
7,대구,에프알엘코리아,유니클로 신입사원(UMC) 채용,신입,대졸이상,정규직,대기업,"9,219억 4,123만원 (2023)","3,033 명 재직중","3,277만원
자세히보기",240억원,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-거침없이 성장하는 회사-매출 1000대 기업-인크루트 인증 우수기업-대기업 in 서울-육아휴직 제공 기업
8,대구,우리은행,[대구경북동부] 영업점 파트타이머 인재 Pool 상시 등록,신입/경력(연차무관),학력무관,알바,대기업,"21조 141억 1,300만원 (2023)","13,343 명 재직중","11,230만원
자세히보기","3조 3,813억 9,200만원",구직자 인기기업-복지의 끝판왕-HOT한 인기기업-평균연봉 6천이상-신입연봉이 4천이상-집 걱정 안 하기-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
9,대구,우리은행,[대구경북서부] 영업점 파트타이머 인재 Pool 상시 등록,신입/경력(연차무관),학력무관,알바,대기업,"21조 141억 1,300만원 (2023)","13,343 명 재직중","11,230만원
자세히보기","3조 3,813억 9,200만원",구직자 인기기업-복지의 끝판왕-HOT한 인기기업-평균연봉 6천이상-신입연봉이 4천이상-집 걱정 안 하기-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
10,대구,(주)KCC,[KCC]창호 시공 현장 패트롤 신입/경력 채용,신입/경력(연차무관),초대졸이상,계약직,대기업,"2조 9,995억 1,659만원 (2023)","3,603 명 재직중",-,"480억 8,466만원",안정적인 장수 회사-구직자 인기기업-매출 1조 클럽-매출 1000대 기업-대기업 in 서울-KOSPI 상장
11,대구,(주)삼성전기통신,"CCTV, 통신관련공사 업무 - 많은 지원바랍니다.",신입/경력(연차무관),학력무관,정규직,중소기업,"33억 4,726만원 (2022)",27 명 재직중,"4,540만원
자세히보기","1억 5,000만원",성장판 열린 회사-복지의 끝판왕-보너스로 행복해요♥-휴식까지 챙겨줘요!
12,대구,주식회사 빌컴,시설관리 (승강기) - 신세계백화점 대구점,신입/경력(연차무관),학력무관,정규직,중소기업,-,480 명 재직중,-,-,복지의 끝판왕-자기계발비 지원 기업-인크루트 인증 우수기업-장기근속수당제공 기업-육아휴직 제공 기업-빵빵한 구내식당
13,대구,주식회사 빌컴,시설관리 (영선(건축)) - 신세계백화점 대구점,신입/경력(연차무관),학력무관,정규직,중소기업,-,480 명 재직중,-,-,복지의 끝판왕-자기계발비 지원 기업-인크루트 인증 우수기업-장기근속수당제공 기업-육아휴직 제공 기업-빵빵한 구내식당
14,대구,(주)삼성전기통신,통신관련업무 정규직 사원 채용중입니다.,신입/경력(연차무관),학력무관,정규직,중소기업,"33억 4,726만원 (2022)",27 명 재직중,"4,540만원
자세히보기","1억 5,000만원",성장판 열린 회사-복지의 끝판왕-보너스로 행복해요♥-휴식까지 챙겨줘요!
15,대구,(재)한국품질재단,[취업연계] 부산 빅데이터 분석가 3기 모집,신입/경력(연차무관),학력무관,교육생(연수생),중기업,"199억 6,966만원 (2021)",-,"6,112만원
자세히보기",10억원,성장판 열린 회사-채용에 적극적인 회사-공기업 in 서울-장기근속수당제공 기업-휴식까지 챙겨줘요!
16,대구,(주)이티에스,2024년 부문별 신입/경력직 모집,신입/경력(연차무관),학력무관,정규직외,중소기업,"945억 9,424만원 (2023)",168 명 재직중,"5,012만원
자세히보기",9억 474만원,채용에 적극적인 회사-인크루트 인증 우수기업
17,대구,국도산업안전(주),대구 발전소 현장[안전감시단]모집,신입/경력(연차무관),학력무관,계약직,중소기업,"17억 2,105만원 (2019)",100 명 재직중,"3,541만원
자세히보기",5억원,
18,대구,계명대학교,계명대학교 일반행정 분야 신입직원(정규직 전환 계약직) 채용 공고,신입,대졸이상,계약직,소기업,"6,735억 489만원 (2019)","4,932 명 재직중","2,479만원
자세히보기","1,398억 2,996만원",안정적인 장수 회사-성장판 열린 회사
19,대구,한국맥도날드유한회사,2024년도 2회차 레스토랑 신입 매니저 공채 (전국),신입,초대졸이상,정규직,중견기업,"6,913억 4,904만원 (2016)","1,470 명 재직중","3,830만원
자세히보기","699억 1,512만원",안정적인 장수 회사-채용에 적극적인 회사-매출 1000대 기업
20,대구,호디자인,시스템에어컨 후시공 천정 도배 복원(경상),신입,학력무관,정규직,중소기업,30억원 (2022),40 명 재직중,-,-,복지의 끝판왕-보너스로 행복해요♥-아낌없이 주는 커피
21,대구,롯데지알에스(주),2024년 4월 롯데GRS STAFF 신입 채용 (크리스피크림도넛),신입,고졸이상,정규직,대기업,"9,488억 8,150만원 (2016)","2,187 명 재직중",-,24억 512만원,안정적인 장수 회사-구직자 인기기업-채용에 적극적인 회사-매출 1000대 기업-인크루트 인증 우수기업-대기업 in 서울
22,대구,대구경북첨단의료산업진흥재단,2024 제1차 대구경북첨단의료산업진흥재단 직원 채용공고,신입/경력(연차무관),학력무관,정규직,중기업,"171억 1,788만원 (2023)",465 명 재직중,"5,330만원
자세히보기","17억 1,851만원",성장판 열린 회사-채용에 적극적인 회사-거침없이 성장하는 회사-인크루트 인증 우수기업
23,대구,수현주식회사,전국 단위 커플매니저/프리랜서 커플매니저 채용,신입/경력(연차무관),학력무관,정규직외,중소기업,-,50 명 재직중,-,-,
24,대구,삼성생명보험(주),기업재무 컨설턴트 모집,신입/경력(연차무관),학력무관,위촉직,대기업,"25조 6,952억 3,300만원 (2010)","6,700 명 재직중",-,"1,000억원",안정적인 장수 회사-구직자 인기기업-채용에 적극적인 회사-대기업 in 서울-KOSPI 상장
25,대구,삼성생명보험(주)서소문사옥,기업경영(재무) 컨설팅,신입/경력(연차무관),초대졸,위촉직외,대기업,-,-,-,-,대기업 in 서울-KOSPI 상장
26,대구,(주)우진케이,"[경력무관]HD 현대중공업 사내협력사 정규직 사원 모집 (동반입사가능, 숙소비 지원 등)",신입/경력(연차무관),학력무관,정규직,중소기업,"3억 5,000만원 (2022)",30 명 재직중,"3,656만원
자세히보기","5,000만원",복지의 끝판왕-아침을 왜 굶어요?-육아휴직 제공 기업-빵빵한 구내식당-휴식까지 챙겨줘요!
27,대구,청명정보,유지보수 신입/경력 채용,신입/경력(연차무관),학력무관,정규직,중소기업,-,-,-,-,
28,대구,삼성전자서비스,안전 / 수리 보조 인력 채용 (전국),신입,고졸이상,계약직외,대기업,"2조 210억 7,862만원 (2022)","1,672 명 재직중",-,302억 299만원,구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-평균연봉 6천이상-보너스로 행복해요♥-매출 1000대 기업-장기근속수당제공 기업-휴식까지 챙겨줘요!
29,대구,(주)세스트,연구개발 분야 신규인력 채용,신입/경력1년↑,대졸,정규직,중소기업,"2억 8,028만원 (2023)",15 명 재직중,-,10억원,
30,대구,(주)엘앤에프,공정개발연구소 신입/경력사원 채용,신입/경력3년↑,대졸이상,정규직외,중견기업,"4조 6,000억 4,429만원 (2023)","1,809 명 재직중","6,911만원
자세히보기","181억 2,391만원",성장판 열린 회사-구직자 인기기업-복지의 끝판왕-매출 1조 클럽-HOT한 인기기업-아침을 왜 굶어요?-보너스로 행복해요♥-내 출퇴근은 내 맘대로-아낌없이 주는 커피-거침없이 성장하는 회사-매출 1000대 기업-인크루트 인증 우수기업-장기근속수당제공 기업-육아휴직 제공 기업-KOSDAQ 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
31,대구,호디자인,"시스템에어컨 후시공 천정 도배 복원(부산,울산)",신입,학력무관,정규직,중소기업,30억원 (2022),40 명 재직중,-,-,복지의 끝판왕-보너스로 행복해요♥-아낌없이 주는 커피
32,대구,(사)한국건강관리협회경상북도지부,24년 경북지부(대구 북구) 행정 고객관리과 보건의료정보관리사(행정) 직원 채용 공고,신입/경력(연차무관),초대졸이상,계약직,중기업,-,160 명 재직중,"5,281만원
자세히보기",-,안정적인 장수 회사
33,대구,충남대학교산학협력단,[NHN아카데미] JAVA 백엔드 교육생 모집,신입/경력(연차무관),학력무관,교육생(연수생),중기업,"1,983억 4,401만원 (2023)","1,001 명 재직중","3,899만원
자세히보기","743억 7,083만원",성장판 열린 회사
34,대구,(주)케이티에스테이트,[kt estate] 2024년 지역인재 신입사원(6급) 채용,신입,초대졸이상,정규직,대기업,"5,917억 8,504만원 (2023)",345 명 재직중,"7,138만원
자세히보기","792억 4,409만원",평균연봉 6천이상-인크루트 인증 우수기업-대기업 in 서울
