,region,cpname,title,career,education,jobtype,cptype,sales,employees,aversalary,capital,pros
0,대전,신용협동조합 공동채용,2024년 상반기 신용협동조합 신입직원 공동채용 공고,신입,학력무관,정규직,중견기업,"25조 4,700억원 (2022)","18,000 명 재직중",-,-,안정적인 장수 회사-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업
1,대전,국민건강보험공단,2024년도 국민건강보험공단 청년인턴 채용 공고,신입/경력(연차무관),학력무관,인턴,중기업,"113조 7,600억 976만원 (2022)","15,761 명 재직중","6,176만원
자세히보기",-,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-매출 1조 클럽-HOT한 인기기업-매출 1000대 기업-인크루트 인증 우수기업
2,대전,코레일테크(주),2024년 하반기 공무직사원 공개경쟁채용 모집공고,신입/경력(연차무관),학력무관,계약직,중소기업,"2,463억 6,017만원 (2023)","5,624 명 재직중","4,166만원
자세히보기",19억 400만원,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업-인크루트 인증 우수기업-KOSPI 상장
3,대전,기초과학연구원,제2024-1회 기초과학연구원 직원 채용 공고,신입,학력무관,정규직,중견기업,"3,212억 6,101만원 (2022)",870 명 재직중,"6,092만원
자세히보기",100만원,구직자 인기기업-채용에 적극적인 회사-보너스로 행복해요♥-인크루트 인증 우수기업
4,대전,동원그룹,2024년 상반기 동원그룹 채용연계형 인턴 모집,신입,대졸,인턴,중견기업,"1조 901억 5,787만원 (2023)",818 명 재직중,"4,855만원
자세히보기","464억 8,266만원",안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-HOT한 인기기업-보너스로 행복해요♥-집 걱정 안 하기-거침없이 성장하는 회사-매출 1000대 기업-장기근속수당제공 기업-KOSPI 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
5,대전,에프알엘코리아,유니클로 신입사원(UMC) 채용,신입,대졸이상,정규직,대기업,"9,219억 4,123만원 (2023)","3,033 명 재직중","3,277만원
자세히보기",240억원,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-거침없이 성장하는 회사-매출 1000대 기업-인크루트 인증 우수기업-대기업 in 서울-육아휴직 제공 기업
6,대전,한국재정정보원,2024년도 한국재정정보원 1차 채용 (체험형 청년인턴),신입,학력무관,인턴,중소기업,530억 59만원 (2021),295 명 재직중,-,500만원,성장판 열린 회사-구직자 인기기업-HOT한 인기기업-인크루트 인증 우수기업-공기업 in 서울
7,대전,(주)경동나비엔,2024년 경동 상반기 수시채용,신입/경력(연차무관),대졸이상,정규직,중견기업,"9,950억 5,516만원 (2023)","1,626 명 재직중","5,037만원
자세히보기","145억 6,859만원",안정적인 장수 회사-성장판 열린 회사-매출 1000대 기업-KOSPI 상장
8,대전,한국농어촌공사,한국농어촌공사 안전진단본부 일반계약직(육아휴직 대체인력) 채용,신입/경력(연차무관),학력무관,계약직,대기업,"4조 5,017억 477만원 (2022)","6,482 명 재직중","5,791만원
자세히보기","1조 4,918억 2,864만원",성장판 열린 회사-구직자 인기기업-매출 1조 클럽-HOT한 인기기업-지방에 위치한 대기업-보너스로 행복해요♥-인크루트 인증 우수기업
9,대전,소상공인시장진흥공단,2024년 기간제근로자(계약직 5급) 채용,신입/경력(연차무관),학력무관,계약직,중기업,"3,255억 7,976만원 (2016)",551 명 재직중,"5,136만원
자세히보기","8억 2,000만원",구직자 인기기업-매출 1000대 기업-인크루트 인증 우수기업
10,대전,(주)엘지에너지솔루션,2024년 5월 R&D(CTO) 경력사원 모집 (선행설비기술),경력(연차무관),고졸이상,정규직,대기업,"12조 2,884억 3,900만원 (2023)","12,162 명 재직중","12,306만원
자세히보기","1,170억원",구직자 인기기업
11,대전,주식회사 엘엑스세미콘,[LX세미콘] 2024년 5월 석사 신입 채용,신입,석사이상,정규직,대기업,"1조 9,014억 4,497만원 (2023)","1,800 명 재직중","9,241만원
자세히보기","81억 3,215만원",성장판 열린 회사-구직자 인기기업-복지의 끝판왕-매출 1조 클럽-지방에 위치한 대기업-보너스로 행복해요♥-집 걱정 안 하기-거침없이 성장하는 회사-매출 1000대 기업-장기근속수당제공 기업-KOSDAQ 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
12,대전,신용협동조합 공동채용,2024년 신협중앙회 계약직(제지급심사·사무행정-대전) 채용 공고,신입/경력(연차무관),학력무관,계약직,중견기업,"25조 4,700억원 (2022)","18,000 명 재직중",-,-,안정적인 장수 회사-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업
13,대전,코오롱제약(주),2024년 코오롱제약 5월 수시채용,신입/경력(연차무관),고졸이상,정규직외,대기업,"1,350억 1,913만원 (2023)",441 명 재직중,"6,844만원
자세히보기",120억원,안정적인 장수 회사-인크루트 인증 우수기업-빵빵한 구내식당
14,대전,우리은행,[대전충청남부] 영업점 파트타이머 인재 Pool 상시 등록,신입/경력(연차무관),학력무관,알바,대기업,"21조 141억 1,300만원 (2023)","13,343 명 재직중","11,230만원
자세히보기","3조 3,813억 9,200만원",구직자 인기기업-복지의 끝판왕-평균연봉 6천이상-신입연봉이 4천이상-집 걱정 안 하기-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
15,대전,SK이노베이션(주),친환경제품연구센터 연구실험원(기술직) 채용 (계약직),신입/경력(연차무관),고졸이상,계약직,대기업,"2조 4,894억 2,999만원 (2023)","1,681 명 재직중","7,513만원
자세히보기","5,095억 1,995만원",성장판 열린 회사-구직자 인기기업-매출 1조 클럽-HOT한 인기기업-평균연봉 6천이상-보너스로 행복해요♥-거침없이 성장하는 회사-매출 1000대 기업-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
16,대전,(주)엘지에너지솔루션,2024년 4월 R&D(CTO) 경력사원 모집 (BMS개발),경력(연차무관),대졸이상,정규직,대기업,"12조 2,884억 3,900만원 (2023)","12,162 명 재직중","12,306만원
자세히보기","1,170억원",구직자 인기기업
17,대전,(주)엘지에너지솔루션,2024년 4월 R&D(CTO) 경력사원 모집 (Pack시뮬레이션),경력(연차무관),대졸이상,정규직,대기업,"12조 2,884억 3,900만원 (2023)","12,162 명 재직중","12,306만원
자세히보기","1,170억원",구직자 인기기업
18,대전,IBK신용정보(주),IBK신용정보 대전지점 조사위임직 모집,신입/경력(연차무관),학력무관,위촉직,중견기업,"323억 4,587만원 (2023)",121 명 재직중,"5,718만원
자세히보기",30억원,복지의 끝판왕-자기계발비 지원 기업-보너스로 행복해요♥-육아휴직 제공 기업-휴식까지 챙겨줘요!
19,대전,충남대학교산학협력단,[NHN아카데미] JAVA 백엔드 교육생 모집,신입/경력(연차무관),학력무관,교육생(연수생),중견기업,"1,983억 4,401만원 (2023)","1,001 명 재직중","3,899만원
자세히보기","743억 7,083만원",성장판 열린 회사
20,대전,(주)잡뉴스솔로몬서치,"(서울,대전,미국,중국)헤드헌터초빙-각분야경력자가능",신입/경력(연차무관),대졸이상,프리랜서,중소기업,-,120 명 재직중 (헤드헌터 116 명),"5,242만원
자세히보기",3억원,구직자 인기기업-채용에 적극적인 회사-집 걱정 안 하기
21,대전,삼성생명보험(주),"세무,절세 컨설팅지원",신입/경력(연차무관),고졸이상,위촉직외,대기업,"27조 743억 7,000만원 (2017)",-,"13,695만원
자세히보기","26조 8,187억 300만원",안정적인 장수 회사-구직자 인기기업-채용에 적극적인 회사-대기업 in 서울-KOSPI 상장
22,대전,한국맥도날드유한회사,2024년도 2회차 레스토랑 신입 매니저 공채 (전국),신입,초대졸이상,정규직,중견기업,"6,913억 4,904만원 (2016)","1,470 명 재직중","3,830만원
자세히보기","699억 1,512만원",안정적인 장수 회사-채용에 적극적인 회사-매출 1000대 기업
23,대전,케어노트,"장기요양기관 세무, 4대보험 관리사원 모집",경력(연차무관),학력무관,정규직외,소기업,-,5 명 재직중,-,-,
24,대전,두송건설(주),(주)두송건설 건설현장 공사 및 공무 신입/ 경력직 채용,신입/경력(연차무관),학력무관,정규직,중견기업,"3,807억 8,822만원 (2023)",64 명 재직중,"4,367만원
자세히보기",10억원,안정적인 장수 회사-구직자 인기기업-채용에 적극적인 회사
25,대전,매일유업(주),2024년 인턴채용 (채용연계형),신입/경력(연차무관),대졸이상,인턴,중견기업,"1조 7,105억 1,083만원 (2023)","2,053 명 재직중","7,627만원
자세히보기","39억 2,181만원",성장판 열린 회사-구직자 인기기업-매출 1조 클럽-매출 1000대 기업-인크루트 인증 우수기업-KOSDAQ 상장
26,대전,기초과학연구원,제2024-1회 중이온가속기연구소 정규직원 채용 공고,신입/경력(연차무관),학력무관,정규직,중견기업,"3,212억 6,101만원 (2022)",100 명 재직중,"6,092만원
자세히보기",100만원,구직자 인기기업-채용에 적극적인 회사-보너스로 행복해요♥-인크루트 인증 우수기업
27,대전,주식회사 중부가설,캐드(설계팀)직원 모집합니다.,신입,학력무관,정규직,중소기업,-,13 명 재직중,"3,743만원
자세히보기",1억원,
28,대전,(주)굿앤피플컴퍼니,1.2종 오토 면허 보유 CJ홈쇼핑 배송직원 채용공고 초보가능 경력무관 근무차량지원,신입/경력(연차무관),학력무관,정규직외,중소기업,"2억 2,119만원 (2019)",357 명 재직중,"4,197만원
자세히보기","1,486만원",성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-매출 상위 10%-HOT한 인기기업-거침없이 성장하는 회사
