,region,cpname,title,career,education,jobtype,cptype,sales,employees,aversalary,capital,pros
0,서울,(주)유한양행,2024 각 부문별 사원 모집,신입/경력1년↑,대졸이상,정규직,중견기업,"1조 8,090억 8,204만원 (2023)","2,036 명 재직중","9,516만원
자세히보기","778억 1,959만원",안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-복지의 끝판왕-매출 1조 클럽-HOT한 인기기업-평균연봉 6천이상-잘나가는 의료·바이오기업-집 걱정 안 하기-매출 1000대 기업-장기근속수당제공 기업-KOSPI 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
1,서울,SK네트웍스(주) 워커힐,각 부문별 정규직 전환형 신입 Intern 인재 채용,신입,학력무관,인턴,대기업,"6조 885억 8,200만원 (2023)","1,657 명 재직중","5,083만원
자세히보기","6,486억 5,400만원",안정적인 장수 회사-성장판 열린 회사-복지의 끝판왕-매출 1조 클럽-아침을 왜 굶어요?-인크루트 인증 우수기업-대기업 in 서울-육아휴직 제공 기업-KOSPI 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
2,서울,국민건강보험공단,2024년도 국민건강보험공단 청년인턴 채용 공고,신입/경력(연차무관),학력무관,인턴,중기업,"113조 7,600억 976만원 (2022)","15,761 명 재직중","6,176만원
자세히보기",-,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-매출 1조 클럽-HOT한 인기기업-매출 1000대 기업-인크루트 인증 우수기업
3,서울,신용협동조합 공동채용,2024년 상반기 신용협동조합 신입직원 공동채용 공고,신입,학력무관,정규직,중견기업,"25조 4,700억원 (2022)","18,000 명 재직중",-,-,안정적인 장수 회사-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업
4,서울,한국공항공사,2024년도 상반기 신입직원 등 채용 공고,신입/경력(연차무관),학력무관,정규직외,중견기업,"6,569억 5,188만원 (2022)","2,610 명 재직중","6,244만원
자세히보기","2조 3,577억 6,610만원",성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업-집 걱정 안 하기-매출 1000대 기업-인크루트 인증 우수기업-공기업 in 서울
5,서울,코레일테크(주),2024년 하반기 공무직사원 공개경쟁채용 모집공고,신입/경력(연차무관),학력무관,계약직,중소기업,"2,463억 6,017만원 (2023)","5,624 명 재직중","4,166만원
자세히보기",19억 400만원,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업-인크루트 인증 우수기업-KOSPI 상장
6,서울,공군본부,2024년도 공군 주관 일반군무원&장애인 구분모집 채용 공고,신입/경력(연차무관),학력무관,정규직,중기업,-,-,-,-,구직자 인기기업-채용에 적극적인 회사-인크루트 인증 우수기업
7,서울,쿠쿠홀딩스(주),2024년 쿠쿠 경력 및 신입 사원 모집,신입/경력(연차무관),고졸이상,정규직,중견기업,"1조 7,800억원 (2023)","1,570 명 재직중","7,815만원
자세히보기",-,안정적인 장수 회사-성장판 열린 회사-채용에 적극적인 회사-거침없이 성장하는 회사-인크루트 인증 우수기업-KOSPI 상장
8,서울,동원그룹,2024년 상반기 동원그룹 채용연계형 인턴 모집,신입,대졸,인턴,중견기업,"1조 901억 5,787만원 (2023)",818 명 재직중,"4,855만원
자세히보기","464억 8,266만원",안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-HOT한 인기기업-보너스로 행복해요♥-집 걱정 안 하기-거침없이 성장하는 회사-매출 1000대 기업-장기근속수당제공 기업-KOSPI 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
9,서울,코레일테크(주),2024년 제1차 일반직사원 채용공고 (경력직 및 채용형인턴),신입/경력(연차무관),학력무관,정규직외,중소기업,"2,463억 6,017만원 (2023)","5,624 명 재직중","4,166만원
자세히보기",19억 400만원,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업-인크루트 인증 우수기업-KOSPI 상장
10,서울,(주)네오플,2024 네오플 신입/경력 대규모 공개채용,신입/경력(연차무관),학력무관,정규직,대기업,"8,813억 4,493만원 (2023)","1,134 명 재직중","7,301만원
자세히보기","1억 8,106만원",구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-HOT한 인기기업-평균연봉 6천이상-지방에 위치한 대기업-보너스로 행복해요♥-집 걱정 안 하기-매출 1000대 기업-장기근속수당제공 기업-빵빵한 구내식당-휴식까지 챙겨줘요!
