,region,cpname,title,career,education,jobtype,cptype,sales,employees,aversalary,capital,pros
0,세종,한국석유관리원,2024년 한국석유관리원 체험형 청년인턴 채용공고,신입/경력(연차무관),학력무관,인턴,중기업,"449억 9,319만원 (2022)",418 명 재직중,"5,928만원
자세히보기","493억 3,250만원",안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업-인크루트 인증 우수기업
1,세종,한국재정정보원,2024년도 한국재정정보원 1차 채용 (체험형 청년인턴),신입,학력무관,인턴,중소기업,530억 59만원 (2021),295 명 재직중,-,500만원,성장판 열린 회사-구직자 인기기업-HOT한 인기기업-인크루트 인증 우수기업-공기업 in 서울
2,세종,에프알엘코리아,유니클로 신입사원(UMC) 채용,신입,대졸이상,정규직,대기업,"9,219억 4,123만원 (2023)","3,033 명 재직중","3,277만원
자세히보기",240억원,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-거침없이 성장하는 회사-매출 1000대 기업-인크루트 인증 우수기업-대기업 in 서울-육아휴직 제공 기업
3,세종,(주)포스코퓨처엠,2024년 상반기 생산기술직(현장근무) 신입사원(채용형 인턴),신입,고졸이상,인턴,대기업,"4조 4,572억 82만원 (2023)","2,760 명 재직중","8,359만원
자세히보기","387억 3,161만원",안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-HOT한 인기기업-아침을 왜 굶어요?-평균연봉 6천이상-지방에 위치한 대기업-자기계발비 지원 기업-보너스로 행복해요♥-내 출퇴근은 내 맘대로-아낌없이 주는 커피-아이와 함께 출근해요-집 걱정 안 하기-거침없이 성장하는 회사-매출 1000대 기업-인크루트 인증 우수기업-장기근속수당제공 기업-육아휴직 제공 기업-KOSPI 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
4,세종,네이버클라우드 주식회사,[NAVER Cloud] 데이터센터 각 투어 및 운영 지원 담당자 (계약직),신입/경력(연차무관),학력무관,계약직,대기업,"1조 1,970억 7,062만원 (2023)","1,554 명 재직중","7,318만원
자세히보기",57억 306만원,성장판 열린 회사-구직자 인기기업-복지의 끝판왕-평균연봉 6천이상-보너스로 행복해요♥-집 걱정 안 하기-거침없이 성장하는 회사-매출 1000대 기업-빵빵한 구내식당-휴식까지 챙겨줘요!
5,세종,우리은행,[대전충청남부] 영업점 파트타이머 인재 Pool 상시 등록,신입/경력(연차무관),학력무관,알바,대기업,"21조 141억 1,300만원 (2023)","13,343 명 재직중","11,230만원
자세히보기","3조 3,813억 9,200만원",구직자 인기기업-복지의 끝판왕-HOT한 인기기업-평균연봉 6천이상-신입연봉이 4천이상-집 걱정 안 하기-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
6,세종,한신공영(주),한신공영(주) 고객지원부 A/S기능직 채용,신입/경력(연차무관),학력무관,계약직,중견기업,"1조 3,112억 2,022만원 (2023)",936 명 재직중,"6,422만원
자세히보기","578억 7,137만원",안정적인 장수 회사-복지의 끝판왕-매출 1조 클럽-신입연봉이 4천이상-매출 1000대 기업-KOSPI 상장-휴식까지 챙겨줘요!
7,세종,(주)오케이비전,[지원금지급]세종 삼성휴대폰 생산 3조2교대 생산직 정규직 사원모집(동반가능),신입/경력(연차무관),학력무관,정규직,중소기업,-,50 명 재직중,"2,938만원
자세히보기",-,복지의 끝판왕-아침을 왜 굶어요?-집 걱정 안 하기-육아휴직 제공 기업-빵빵한 구내식당-휴식까지 챙겨줘요!
8,세종,태경지앤에스,(세종전의면/주간/상여금200/자차가능자) 현대MOBIS 자동차 부품 / 물류 전동지게차 피킹/적재 사원모집,신입/경력(연차무관),고졸이상,정규직,중소기업,20억원,150 명 재직중,"3,096만원
자세히보기",2억원,
9,세종,케이맨파워시스템(주),"통근버스 [정규5급] GS물류 공주센터 [단기 95,000/주간파트/야간파트]",신입/경력(연차무관),학력무관,정규직외,중소기업,-,10 명 재직중,-,-,
10,세종,세종특별자치시시설관리공단,2024년 세종시설공단 제 1회 직원 공개 채용 공고,신입/경력(연차무관),학력무관,정규직,중소기업,"246억 4,500만원 (2021)",252 명 재직중,"4,975만원
자세히보기",10억원,성장판 열린 회사-매출 상위 10%-거침없이 성장하는 회사
11,세종,한국맥도날드유한회사,2024년도 2회차 레스토랑 신입 매니저 공채 (전국),신입,초대졸이상,정규직,중견기업,"6,913억 4,904만원 (2016)","1,470 명 재직중","3,830만원
자세히보기","699억 1,512만원",안정적인 장수 회사-채용에 적극적인 회사-매출 1000대 기업
12,세종,케이맨파워시스템,통근운행 [정규직] GS물류 청주센터 [주간파트/야간파트],신입/경력(연차무관),고졸,정규직,중소기업,-,-,-,-,
13,세종,삼성생명보험(주),기업재무 컨설턴트 모집,신입/경력(연차무관),학력무관,위촉직,대기업,"25조 6,952억 3,300만원 (2010)","6,700 명 재직중",-,"1,000억원",안정적인 장수 회사-구직자 인기기업-채용에 적극적인 회사-대기업 in 서울-KOSPI 상장
14,세종,삼성전자서비스,안전 / 수리 보조 인력 채용 (전국),신입,고졸이상,계약직외,대기업,"2조 210억 7,862만원 (2022)","1,672 명 재직중",-,302억 299만원,구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-평균연봉 6천이상-보너스로 행복해요♥-매출 1000대 기업-장기근속수당제공 기업-휴식까지 챙겨줘요!
15,세종,충남대학교산학협력단,[NHN아카데미] JAVA 백엔드 교육생 모집,신입/경력(연차무관),학력무관,교육생(연수생),대기업,"1,983억 4,401만원 (2023)","1,001 명 재직중","3,899만원
자세히보기","743억 7,083만원",성장판 열린 회사
16,세종,SK바이오텍(주),2024년 상반기 SK바이오텍 설비운전원(신입/경력) 모집,신입/경력3년미만,고졸이상,정규직,대기업,"2,023억 5,338만원 (2023)",416 명 재직중,"6,444만원
자세히보기","114억 1,266만원",성장판 열린 회사-평균연봉 6천이상-지방에 위치한 대기업-잘나가는 의료·바이오기업
17,세종,미소밥상,"[주 5일 / 단체 급식 배달] 초보 가능, 1톤 탑차 운전자 우대",신입/경력(연차무관),학력무관,정규직,중소기업,-,6 명 재직중,-,-,
18,세종,엠솔루션,[충북/1인기숙사/주간]월300이상/상여100/PVC 단순생산,신입/경력(연차무관),학력무관,정규직외,중소기업,"4억 4,664만원 (2022)",1 명 재직중,-,"5,903만원",성장판 열린 회사-복지의 끝판왕-매출 상위 10%-보너스로 행복해요♥-거침없이 성장하는 회사-빵빵한 구내식당-휴식까지 챙겨줘요!
19,세종,한국개발연구원국제정책대학원대학교,[KDI국제정책대학원] 2024년 제6차 위촉직 채용 (교육행정),신입/경력(연차무관),학력무관,계약직,소기업,"1,015억 5,047만원 (2022)",161 명 재직중,"3,501만원
자세히보기",100만원,인크루트 인증 우수기업
20,세종,(주)굿앤피플컴퍼니,1.2종 오토 면허 보유 CJ홈쇼핑 배송직원 채용공고 초보가능 경력무관 근무차량지원,신입/경력(연차무관),학력무관,정규직외,중소기업,"2억 2,119만원 (2019)",357 명 재직중,"4,197만원
자세히보기","1,486만원",성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-매출 상위 10%-HOT한 인기기업-거침없이 성장하는 회사
21,세종,주식회사 코아테크프로,[세종/전의면](주간) 현대MOBIS 자동차 부품 물류 전동지게차 피킹/적재,신입/경력(연차무관),고졸이상,정규직,중소기업,-,-,"3,780만원
자세히보기",-,복지의 끝판왕-보너스로 행복해요♥-육아휴직 제공 기업-빵빵한 구내식당
22,세종,홍익대학교 세종캠퍼스,게임학부 게임그래픽디자인전공 행정조교 모집 안내,신입/경력(연차무관),학력무관,계약직,대기업,-,500 명 재직중,-,-,지방에 위치한 대기업
23,세종,(주)정성코스메틱,2교대 화장품 단순포장 정규직 채용[천안/조치원 통근],신입/경력(연차무관),학력무관,정규직,중소기업,"65억 4,765만원 (2020)",150 명 재직중,"3,311만원
자세히보기",1억원,잘나가는 의료·바이오기업
24,세종,SK바이오텍(주),2024년 상반기 SK바이오텍 생산 엔지니어(제조담당) 신입/경력 모집,신입/경력(연차무관),대졸이상,정규직,대기업,"2,023억 5,338만원 (2023)",416 명 재직중,"6,444만원
자세히보기","114억 1,266만원",성장판 열린 회사-평균연봉 6천이상-지방에 위치한 대기업-잘나가는 의료·바이오기업
25,세종,굿리치 주식회사,[대전시-지점장 입사시 일억 지급] 팀장/지점장/본부장 모집,신입/경력(연차무관),학력무관,계약직,대기업,"3,932억 9,575만원 (2023)",386 명 재직중,"4,518만원
자세히보기","32억 1,528만원",복지의 끝판왕-아낌없이 주는 커피-대기업 in 서울-장기근속수당제공 기업-육아휴직 제공 기업-휴식까지 챙겨줘요!
26,세종,(주)세스코,"충남남부지부 서비스컨설턴트 (공주시,세종시)",신입,고졸이상,정규직,중견기업,"3,847억 4,104만원 (2021)","3,694 명 재직중",-,"5억 9,634만원",안정적인 장수 회사-성장판 열린 회사-복지의 끝판왕-거침없이 성장하는 회사-매출 1000대 기업-장기근속수당제공 기업-휴식까지 챙겨줘요!
27,세종,(주)구현,생활 용기 생산직 사원 모집 (장기알바),신입/경력(연차무관),학력무관,계약직,중소기업,-,30 명 재직중,"2,649만원
자세히보기",-,
28,세종,(주)구현,자동차 부품 포장 사원 모집 (현도센터),신입/경력(연차무관),학력무관,정규직,중소기업,-,30 명 재직중,"2,649만원
자세히보기",-,
29,세종,타이슨푸드코리아 유한회사,[외국계 식품회사] 생산직 채용 (월 320만 원 이상),신입/경력(연차무관),학력무관,계약직,중소기업,"1,199억 3,637만원 (2023)",235 명 재직중,"5,544만원
자세히보기",130억원,성장판 열린 회사-거침없이 성장하는 회사
30,세종,(주)이글루코퍼레이션,[인프라사업본부] 정보보안 전문가 인력 채용,신입/경력(연차무관),대졸이상,정규직,중소기업,"1,047억 6,390만원 (2023)",55 명 재직중,"4,178만원
자세히보기","54억 9,806만원",성장판 열린 회사-인크루트 인증 우수기업-KOSDAQ 상장
31,세종,주식회사 에스텍세이프,"[연3,252만이상/세종] 보안경비요원모집",신입/경력(연차무관),학력무관,정규직,중견기업,"506억 8,702만원 (2023)","1,249 명 재직중","3,576만원
자세히보기",10억원,성장판 열린 회사
32,세종,(주)굿앤피플컴퍼니,운전면허 보유자 Each camp 배송직원 채용공고 초보가능.경력.학력.성별 무관 근무차량지원,신입/경력(연차무관),학력무관,정규직외,중소기업,"2억 2,119만원 (2019)",357 명 재직중,"4,197만원
자세히보기","1,486만원",성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-매출 상위 10%-HOT한 인기기업-거침없이 성장하는 회사
