,region,cpname,title,career,education,jobtype,cptype,sales,employees,aversalary,capital,pros
0,인천,국민건강보험공단,2024년도 국민건강보험공단 청년인턴 채용 공고,신입/경력(연차무관),학력무관,인턴,중기업,"113조 7,600억 976만원 (2022)","15,761 명 재직중","6,176만원
자세히보기",-,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-매출 1조 클럽-HOT한 인기기업-매출 1000대 기업-인크루트 인증 우수기업
1,인천,신용협동조합 공동채용,2024년 상반기 신용협동조합 신입직원 공동채용 공고,신입,학력무관,정규직,중견기업,"25조 4,700억원 (2022)","18,000 명 재직중",-,-,안정적인 장수 회사-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업
2,인천,인천교통공사,인천교통공사 공무직 채용 공고,신입/경력(연차무관),학력무관,정규직외,대기업,"1,545억 1,691만원 (2020)","2,650 명 재직중","5,700만원
자세히보기","4조 3,595억 1,630만원",구직자 인기기업-채용에 적극적인 회사-지방에 위치한 대기업-인크루트 인증 우수기업
3,인천,인천교통공사,인천교통공사 공무직 신입사원 채용 공고,신입,학력무관,정규직,대기업,"1,545억 1,691만원 (2020)","2,650 명 재직중","5,700만원
자세히보기","4조 3,595억 1,630만원",구직자 인기기업-채용에 적극적인 회사-지방에 위치한 대기업-인크루트 인증 우수기업
4,인천,우리은행,파트타이머 인재풀 등록,신입/경력(연차무관),학력무관,계약직,대기업,"21조 141억 1,300만원 (2023)","13,343 명 재직중","11,230만원
자세히보기","3조 3,813억 9,200만원",구직자 인기기업-복지의 끝판왕-평균연봉 6천이상-신입연봉이 4천이상-집 걱정 안 하기-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
5,인천,KB신용정보(주),2024년 신입 및 경력사원 채용,신입/경력(연차무관),학력무관,정규직,중견기업,"364억 6,900만원 (2022)",122 명 재직중,"6,359만원
자세히보기","62억 6,200만원",성장판 열린 회사-평균연봉 6천이상
6,인천,우리은행,[부천인천북부] 영업점 파트타이머 인재 Pool 상시 등록,신입/경력(연차무관),학력무관,알바,대기업,"21조 141억 1,300만원 (2023)","13,343 명 재직중","11,230만원
자세히보기","3조 3,813억 9,200만원",구직자 인기기업-복지의 끝판왕-평균연봉 6천이상-신입연봉이 4천이상-집 걱정 안 하기-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
7,인천,우리은행,[인천] 영업점 파트타이머 인재 Pool 상시 등록,신입/경력(연차무관),학력무관,알바,대기업,"21조 141억 1,300만원 (2023)","13,343 명 재직중","11,230만원
자세히보기","3조 3,813억 9,200만원",구직자 인기기업-복지의 끝판왕-평균연봉 6천이상-신입연봉이 4천이상-집 걱정 안 하기-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
8,인천,에프알엘코리아,유니클로 신입사원(UMC) 채용,신입,대졸이상,정규직,대기업,"9,219억 4,123만원 (2023)","3,033 명 재직중","3,277만원
자세히보기",240억원,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-거침없이 성장하는 회사-매출 1000대 기업-인크루트 인증 우수기업-대기업 in 서울-육아휴직 제공 기업
9,인천,㈜셀트리온제약,셀트리온제약 신입 및 경력 상시채용,신입/경력(연차무관),학력무관,정규직외,대기업,"3,887억 9,433만원 (2023)",937 명 재직중,"6,251만원
자세히보기",198억 512만원,성장판 열린 회사-구직자 인기기업-복지의 끝판왕-지방에 위치한 대기업-보너스로 행복해요♥-거침없이 성장하는 회사-장기근속수당제공 기업-KOSDAQ 상장-휴식까지 챙겨줘요!
