,region,cpname,title,career,education,jobtype,cptype,sales,employees,aversalary,capital,pros
0,전북특별자치도,한국공항공사,2024년도 상반기 신입직원 등 채용 공고,신입/경력(연차무관),학력무관,정규직외,중견기업,"6,569억 5,188만원 (2022)","2,610 명 재직중","6,244만원
자세히보기","2조 3,577억 6,610만원",성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업-집 걱정 안 하기-매출 1000대 기업-인크루트 인증 우수기업-공기업 in 서울
1,전북특별자치도,신용협동조합 공동채용,2024년 상반기 신용협동조합 신입직원 공동채용 공고,신입,학력무관,정규직,중견기업,"25조 4,700억원 (2022)","18,000 명 재직중",-,-,안정적인 장수 회사-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업
2,전북특별자치도,코레일테크(주),2024년 하반기 공무직사원 공개경쟁채용 모집공고,신입/경력(연차무관),학력무관,계약직,중소기업,"2,463억 6,017만원 (2023)","5,624 명 재직중","4,166만원
자세히보기",19억 400만원,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업-인크루트 인증 우수기업-KOSPI 상장
3,전북특별자치도,쿠쿠홀딩스(주),2024년 쿠쿠 경력 및 신입 사원 모집,신입/경력(연차무관),고졸이상,정규직,중견기업,"1조 7,800억원 (2023)","1,570 명 재직중","7,815만원
자세히보기",-,안정적인 장수 회사-성장판 열린 회사-채용에 적극적인 회사-거침없이 성장하는 회사-인크루트 인증 우수기업-KOSPI 상장
4,전북특별자치도,한국석유관리원,2024년 한국석유관리원 체험형 청년인턴 채용공고,신입/경력(연차무관),학력무관,인턴,중기업,"449억 9,319만원 (2022)",418 명 재직중,"5,928만원
자세히보기","493억 3,250만원",안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업-인크루트 인증 우수기업
5,전북특별자치도,에프알엘코리아,유니클로 신입사원(UMC) 채용,신입,대졸이상,정규직,대기업,"9,219억 4,123만원 (2023)","3,033 명 재직중","3,277만원
자세히보기",240억원,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-거침없이 성장하는 회사-매출 1000대 기업-인크루트 인증 우수기업-대기업 in 서울-육아휴직 제공 기업
6,전북특별자치도,(주)이디야,"[이디야커피] 2024년 경력직(해외사업, 인테리어 디자인파트) / 정규직 바리스타 수시채용",신입/경력(연차무관),학력무관,정규직,중견기업,"2,755억 6,602만원 (2023)",444 명 재직중,"4,479만원
자세히보기",5억원,성장판 열린 회사-구직자 인기기업-HOT한 인기기업-보너스로 행복해요♥-장기근속수당제공 기업
7,전북특별자치도,(주)선진,2024 선진 2분기 수시 채용,신입/경력1년↑,대졸이상,정규직,대기업,"1조 1,911억 171만원 (2023)",441 명 재직중,"6,094만원
자세히보기","118억 8,980만원",안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-평균연봉 6천이상-보너스로 행복해요♥-집 걱정 안 하기-매출 1000대 기업-인크루트 인증 우수기업-장기근속수당제공 기업-KOSPI 상장-휴식까지 챙겨줘요!
8,전북특별자치도,AJ네트웍스 주식회사,AJ네트웍스 렌탈부문 5월 수시채용,신입/경력(연차무관),초대졸이상,정규직,중견기업,"5,496억 2,052만원 (2023)",604 명 재직중,"6,267만원
자세히보기","468억 2,229만원",성장판 열린 회사-복지의 끝판왕-보너스로 행복해요♥-매출 1000대 기업-장기근속수당제공 기업-KOSPI 상장-휴식까지 챙겨줘요!
9,전북특별자치도,환인제약(주),환인제약(주) 2024년 영업/마케팅 공개채용(4/22(월)~5/21(화) 13:30까지),신입/경력(연차무관),대졸이상,정규직,중견기업,"2,282억 4,281만원 (2023)",656 명 재직중,"5,693만원
자세히보기",97억 3만원,안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-복지의 끝판왕-집 걱정 안 하기-KOSPI 상장-빵빵한 구내식당
10,전북특별자치도,우리은행,[NPS전북] 영업점 파트타이머 인재 Pool 상시 등록,신입/경력(연차무관),학력무관,알바,대기업,"21조 141억 1,300만원 (2023)","13,343 명 재직중","11,230만원
자세히보기","3조 3,813억 9,200만원",구직자 인기기업-복지의 끝판왕-HOT한 인기기업-평균연봉 6천이상-신입연봉이 4천이상-집 걱정 안 하기-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
11,전북특별자치도,(주)LG화학,[첨단소재] 익산공장 가공분석팀 계약직 채용,신입/경력(연차무관),초대졸이상,계약직,대기업,"19조 9,473억 7,700만원 (2023)","10,000 명 재직중","7,540만원
자세히보기","3,914억 600만원",구직자 인기기업-복지의 끝판왕-매출 1조 클럽-평균연봉 6천이상-신입연봉이 4천이상-집 걱정 안 하기-매출 1000대 기업-대기업 in 서울-KOSPI 상장
12,전북특별자치도,대보정보통신(주),"익산청 상황실 근무, 정보통신시설물 운영 및 유지관리 직원 채용(계약직)",경력(연차무관),학력무관,계약직,중견기업,"1,426억 8,915만원 (2023)",930 명 재직중,"4,508만원
자세히보기","18억 3,290만원",인크루트 인증 우수기업
13,전북특별자치도,(주)이디야,이디야커피 직영점 바리스타 모집,신입/경력(연차무관),학력무관,정규직,중견기업,"2,755억 6,602만원 (2023)",444 명 재직중,"4,479만원
자세히보기",5억원,성장판 열린 회사-구직자 인기기업-HOT한 인기기업-보너스로 행복해요♥-장기근속수당제공 기업
14,전북특별자치도,(주)아워홈,"2024년 영양사, 조리사 상시 채용",경력(연차무관),학력무관,정규직,중견기업,"1조 7,652억 9,962만원 (2023)","8,822 명 재직중","4,005만원
자세히보기",114억 976만원,구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-보너스로 행복해요♥-집 걱정 안 하기-매출 1000대 기업-인크루트 인증 우수기업-장기근속수당제공 기업-빵빵한 구내식당-휴식까지 챙겨줘요!
15,전북특별자치도,(주)현대그린푸드,"[화성,전주] 단체급식 경력조리사 모집",경력(연차무관),학력무관,정규직,대기업,"200억 7,276만원 (2023)",113 명 재직중,-,"788억 4,593만원",안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-복지의 끝판왕-매출 1조 클럽-보너스로 행복해요♥-집 걱정 안 하기-매출 1000대 기업-인크루트 인증 우수기업-장기근속수당제공 기업-KOSPI 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
16,전북특별자치도,전북신용보증재단,"2024년도 제2회 직원[5급(일반, 장애인) 신입] 채용공고",신입,학력무관,정규직,중소기업,"175억 4,498만원 (2022)",99 명 재직중,"4,999만원
자세히보기","3,063억 1,264만원",성장판 열린 회사-인크루트 인증 우수기업
17,전북특별자치도,전북특별자치도,2024년 전북특별자치도 산하 공공기관 직원 통합채용,신입/경력(연차무관),학력무관,정규직외,중소기업,-,-,"4,437만원
자세히보기",-,안정적인 장수 회사-채용에 적극적인 회사-인크루트 인증 우수기업
18,전북특별자치도,(재)한국전통문화전당,2024년 제2회 직원(일반직) 채용 공고,신입/경력(연차무관),초대졸,정규직,소기업,"80억 7,631만원 (2021)",80 명 재직중,"4,012만원
자세히보기","63억 4,088만원",성장판 열린 회사
19,전북특별자치도,(주)케이티에스테이트,[kt estate] 2024년 지역인재 신입사원(6급) 채용,신입,초대졸이상,정규직,대기업,"5,917억 8,504만원 (2023)",345 명 재직중,"7,138만원
자세히보기","792억 4,409만원",평균연봉 6천이상-인크루트 인증 우수기업-대기업 in 서울
20,전북특별자치도,한국케미라화학(주),생산부분 계약직(1년) 모집,신입/경력(연차무관),학력무관,계약직,중견기업,"885억 2,368만원 (2023)",71 명 재직중,"5,604만원
자세히보기","33억 6,400만원",성장판 열린 회사-육아휴직 제공 기업
21,전북특별자치도,원광대학교병원,원광대학교병원 원무팀 사무담당원 모집공고 (~5/3 14시),신입/경력(연차무관),초대졸이상,계약직,중견기업,"2,161억 5,339만원 (2019)","2,060 명 재직중","3,295만원
자세히보기","501억 9,648만원",안정적인 장수 회사-성장판 열린 회사
22,전북특별자치도,주식회사 아이케이,"[기숙사무료/주간/주5일/시급11,080]스틸파이프 자동생산 사원 모집",신입/경력(연차무관),학력무관,계약직,중소기업,-,1 명 재직중,"2,945만원
자세히보기",-,
23,전북특별자치도,(주)이티에스,2024년 부문별 신입/경력직 모집,신입/경력(연차무관),학력무관,정규직외,중소기업,"945억 9,424만원 (2023)",168 명 재직중,"5,012만원
자세히보기",9억 474만원,채용에 적극적인 회사-인크루트 인증 우수기업
24,전북특별자치도,삼성전자서비스,안전 / 수리 보조 인력 채용(서부지사),신입/경력(연차무관),고졸이상,계약직,대기업,"2조 210억 7,862만원 (2022)","1,672 명 재직중","7,110만원
자세히보기",302억 299만원,구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-평균연봉 6천이상-보너스로 행복해요♥-매출 1000대 기업-장기근속수당제공 기업-휴식까지 챙겨줘요!
25,전북특별자치도,(주)씨스원,씨스원에서 함께 일하실 편집 디자이너 신입/경력 모십니다 :),신입/경력(연차무관),학력무관,정규직,중소기업,"1억 3,003만원 (2022)",40 명 재직중,"2,644만원
자세히보기","5,000만원",성장판 열린 회사-복지의 끝판왕-매출 상위 10%-자기계발비 지원 기업-보너스로 행복해요♥-거침없이 성장하는 회사-육아휴직 제공 기업
26,전북특별자치도,한국맥도날드유한회사,2024년도 2회차 레스토랑 신입 매니저 공채 (전국),신입,초대졸이상,정규직,중견기업,"6,913억 4,904만원 (2016)","1,470 명 재직중","3,830만원
자세히보기","699억 1,512만원",안정적인 장수 회사-채용에 적극적인 회사-매출 1000대 기업
27,전북특별자치도,한국전자기술연구원,한국전자기술연구원 2024년 1차 정규직 공개채용 공고,신입/경력(연차무관),대졸이상,정규직,중견기업,"3,240억 8,520만원 (2022)","1,043 명 재직중","5,683만원
자세히보기",100만원,성장판 열린 회사-채용에 적극적인 회사-HOT한 인기기업-거침없이 성장하는 회사
28,전북특별자치도,(주)굿앤피플컴퍼니,쿠팡 퀵 플렉스 신규 지역 각 라우터 신입및경력 배송 직원 채용공고 근무차량지원,신입/경력(연차무관),학력무관,정규직외,중소기업,"2억 2,119만원 (2019)",357 명 재직중,"4,197만원
자세히보기","1,486만원",성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-매출 상위 10%-HOT한 인기기업-거침없이 성장하는 회사
29,전북특별자치도,전북신용보증재단,"2024년도 제2회 직원[5급(일반, 장애인) 신입] 채용 공고",신입,학력무관,정규직,중소기업,"175억 4,498만원 (2022)",99 명 재직중,"4,999만원
자세히보기","3,063억 1,264만원",성장판 열린 회사-인크루트 인증 우수기업
30,전북특별자치도,삼성생명보험(주),기업재무 컨설턴트 모집,신입/경력(연차무관),학력무관,위촉직,대기업,"25조 6,952억 3,300만원 (2010)","6,700 명 재직중",-,"1,000억원",안정적인 장수 회사-구직자 인기기업-채용에 적극적인 회사-대기업 in 서울-KOSPI 상장
31,전북특별자치도,에어리퀴드코리아,의료장비 물류 관리자 (광주 및 전주),신입/경력(연차무관),초대졸이상,정규직,중견기업,"3,613억 1,630만원 (2023)",152 명 재직중,"6,812만원
자세히보기","558억 1,179만원",장기근속수당제공 기업
