,region,cpname,title,career,education,jobtype,cptype,sales,employees,aversalary,capital,pros
0,충남,공군본부,2024년도 공군 주관 일반군무원&장애인 구분모집 채용 공고,신입/경력(연차무관),학력무관,정규직,중기업,-,-,-,-,구직자 인기기업-채용에 적극적인 회사-인크루트 인증 우수기업
1,충남,신용협동조합 공동채용,2024년 상반기 신용협동조합 신입직원 공동채용 공고,신입,학력무관,정규직,중견기업,"25조 4,700억원 (2022)","18,000 명 재직중",-,-,안정적인 장수 회사-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업
2,충남,코레일테크(주),2024년 하반기 공무직사원 공개경쟁채용 모집공고,신입/경력(연차무관),학력무관,계약직,중소기업,"2,463억 6,017만원 (2023)","5,624 명 재직중","4,166만원
자세히보기",19억 400만원,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업-인크루트 인증 우수기업-KOSPI 상장
3,충남,독립기념관,2024년 독립기념관 직원 채용 공고,신입/경력(연차무관),학력무관,인턴,중견기업,"297억 1,072만원 (2022)",158 명 재직중,"5,377만원
자세히보기","955억 4,061만원",안정적인 장수 회사-성장판 열린 회사-인크루트 인증 우수기업
4,충남,에프알엘코리아,유니클로 신입사원(UMC) 채용,신입,대졸이상,정규직,대기업,"9,219억 4,123만원 (2023)","3,033 명 재직중","3,277만원
자세히보기",240억원,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-거침없이 성장하는 회사-매출 1000대 기업-인크루트 인증 우수기업-대기업 in 서울-육아휴직 제공 기업
5,충남,동국제강(주),동국제강 당진 생산관리부문 신입사원 채용,신입,대졸이상,정규직,중견기업,"156억 2,226만원 (2023)",44 명 재직중,-,"2,710억 6,676만원",안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-매출 1조 클럽-매출 1000대 기업-인크루트 인증 우수기업-KOSPI 상장
6,충남,(주)두원공조,[2024-03] IT(전산) 채용(경력) 공고,경력(연차무관),대졸이상,정규직,중견기업,"1조 3,492억 1,389만원 (2023)",561 명 재직중,"7,114만원
자세히보기",80억원,안정적인 장수 회사-평균연봉 6천이상-신입연봉이 4천이상-매출 1000대 기업
7,충남,한국세라믹기술원,한국세라믹기술원 2024년도 제2분기 채용공고(체험형 인턴),신입/경력(연차무관),학력무관,인턴,중견기업,"934억 6,146만원 (2022)",230 명 재직중,"5,426만원
자세히보기",100만원,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-인크루트 인증 우수기업
8,충남,우리은행,파트타이머 인재풀 등록,신입/경력(연차무관),학력무관,계약직,대기업,"21조 141억 1,300만원 (2023)","13,343 명 재직중","11,230만원
자세히보기","3조 3,813억 9,200만원",구직자 인기기업-복지의 끝판왕-HOT한 인기기업-평균연봉 6천이상-신입연봉이 4천이상-집 걱정 안 하기-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
9,충남,(주)선진,2024 선진 2분기 수시 채용,신입/경력1년↑,대졸이상,정규직,대기업,"1조 1,911억 171만원 (2023)",441 명 재직중,"6,094만원
자세히보기","118억 8,980만원",안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-평균연봉 6천이상-보너스로 행복해요♥-집 걱정 안 하기-매출 1000대 기업-인크루트 인증 우수기업-장기근속수당제공 기업-KOSPI 상장-휴식까지 챙겨줘요!
10,충남,코오롱제약(주),2024년 코오롱제약 5월 수시채용,신입/경력(연차무관),고졸이상,정규직외,대기업,"1,350억 1,913만원 (2023)",441 명 재직중,"6,844만원
자세히보기",120억원,안정적인 장수 회사-인크루트 인증 우수기업-빵빵한 구내식당
11,충남,공군본부,2024년도 공군 주관 일반군무원 채용시험 시행계획 공고,신입/경력(연차무관),학력무관,정규직,중기업,-,-,-,-,구직자 인기기업-채용에 적극적인 회사-인크루트 인증 우수기업
12,충남,하나머티리얼즈(주),[신입/경력] 공정기술Eng 모집,신입/경력1년↑,대졸이상,정규직,중견기업,"2,332억 1,430만원 (2023)",730 명 재직중,"6,264만원
자세히보기","98억 7,633만원",성장판 열린 회사-채용에 적극적인 회사-복지의 끝판왕-자기계발비 지원 기업-보너스로 행복해요♥-아낌없이 주는 커피-거침없이 성장하는 회사-장기근속수당제공 기업-육아휴직 제공 기업-KOSDAQ 상장-빵빵한 구내식당
13,충남,동국제강(주),동국제강 당진 총무/노무부문 신입사원 채용,신입,대졸이상,정규직,중견기업,"156억 2,226만원 (2023)",44 명 재직중,-,"2,710억 6,676만원",안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-매출 1조 클럽-매출 1000대 기업-인크루트 인증 우수기업-KOSPI 상장
14,충남,동화기업(주),[기술직] 동화기업 아산공장 방사선안전관리담당 채용,신입/경력(연차무관),고졸이상,정규직,중견기업,"4,494억 8,508만원 (2023)",809 명 재직중,"7,508만원
자세히보기",106억 769만원,안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-복지의 끝판왕-평균연봉 6천이상-신입연봉이 4천이상-보너스로 행복해요♥-집 걱정 안 하기-매출 1000대 기업-장기근속수당제공 기업-KOSDAQ 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
15,충남,애경산업(주),[계약직] 애경산업(주) 생활용품 및 화장품 생산(계약직) 채용,신입/경력(연차무관),고졸이상,계약직,중견기업,"6,461억 1,564만원 (2023)",913 명 재직중,"6,606만원
자세히보기",264억 993만원,안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-매출 1000대 기업-인크루트 인증 우수기업-KOSPI 상장
16,충남,AJ네트웍스 주식회사,AJ네트웍스 렌탈부문 5월 수시채용,신입/경력(연차무관),초대졸이상,정규직,중견기업,"5,496억 2,052만원 (2023)",604 명 재직중,"6,267만원
자세히보기","468억 2,229만원",성장판 열린 회사-복지의 끝판왕-보너스로 행복해요♥-매출 1000대 기업-장기근속수당제공 기업-KOSPI 상장-휴식까지 챙겨줘요!
17,충남,환인제약(주),환인제약(주) 2024년 영업/마케팅 공개채용(4/22(월)~5/21(화) 13:30까지),신입/경력(연차무관),대졸이상,정규직,중견기업,"2,282억 4,281만원 (2023)",656 명 재직중,"5,693만원
자세히보기",97억 3만원,안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-복지의 끝판왕-집 걱정 안 하기-KOSPI 상장-빵빵한 구내식당
18,충남,(주)경동나비엔,2024년 경동 상반기 수시채용,신입/경력(연차무관),대졸이상,정규직,중견기업,"9,950억 5,516만원 (2023)","1,626 명 재직중","5,037만원
자세히보기","145억 6,859만원",안정적인 장수 회사-성장판 열린 회사-매출 1000대 기업-KOSPI 상장
19,충남,현대ITC,2024년 현대ITC 일반직 신입 사원 채용,신입,대졸이상,정규직,대기업,"4,312억 2,251만원 (2023)","3,968 명 재직중",-,170억원,성장판 열린 회사-복지의 끝판왕-아침을 왜 굶어요?-지방에 위치한 대기업-보너스로 행복해요♥-거침없이 성장하는 회사-장기근속수당제공 기업-육아휴직 제공 기업-빵빵한 구내식당-휴식까지 챙겨줘요!
20,충남,동국제강(주),동국제강 당진 안전환경부문 신입사원 채용,신입,대졸이상,정규직,중견기업,"156억 2,226만원 (2023)",44 명 재직중,-,"2,710억 6,676만원",안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-매출 1조 클럽-매출 1000대 기업-인크루트 인증 우수기업-KOSPI 상장
21,충남,주식회사 SFA반도체,[공채] [신입] 제조시스템팀 설비자원관리,신입,대졸이상,정규직,중견기업,"4,092억 5,176만원 (2023)",549 명 재직중,"5,734만원
자세히보기","824억 8,745만원",성장판 열린 회사-구직자 인기기업-복지의 끝판왕-신입연봉이 4천이상-보너스로 행복해요♥-집 걱정 안 하기-매출 1000대 기업-장기근속수당제공 기업-KOSDAQ 상장-빵빵한 구내식당
22,충남,동원그룹,[동원시스템즈] 아산사업장 소방안전/자재관리 담당자 채용,신입/경력(연차무관),초대졸이상,정규직,중견기업,"1조 901억 5,787만원 (2023)",818 명 재직중,"4,855만원
자세히보기","464억 8,266만원",안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-HOT한 인기기업-보너스로 행복해요♥-집 걱정 안 하기-거침없이 성장하는 회사-매출 1000대 기업-장기근속수당제공 기업-KOSPI 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
23,충남,세종공업(주),SJG 각 부문별 경력 및 신입직원 모집,신입/경력(연차무관),학력무관,정규직외,중견기업,"4,788억 3,342만원 (2023)",641 명 재직중,"8,670만원
자세히보기","139억 1,048만원",안정적인 장수 회사-평균연봉 6천이상-KOSPI 상장
24,충남,우리은행,[충청북부] 영업점 파트타이머 인재 Pool 상시 등록,신입/경력(연차무관),학력무관,알바,대기업,"21조 141억 1,300만원 (2023)","13,343 명 재직중","11,230만원
자세히보기","3조 3,813억 9,200만원",구직자 인기기업-복지의 끝판왕-HOT한 인기기업-평균연봉 6천이상-신입연봉이 4천이상-집 걱정 안 하기-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
25,충남,현대제철(주),24년 해외채용,신입,석사이상,정규직,대기업,"21조 6,094억 1,627만원 (2023)","11,907 명 재직중","7,667만원
자세히보기","6,672억 2,892만원",안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-복지의 끝판왕-매출 1조 클럽-HOT한 인기기업-평균연봉 6천이상-신입연봉이 4천이상-자기계발비 지원 기업-보너스로 행복해요♥-아낌없이 주는 커피-아이와 함께 출근해요-집 걱정 안 하기-인크루트 인증 우수기업-장기근속수당제공 기업-육아휴직 제공 기업-KOSPI 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
26,충남,주식회사 SFA반도체,[공채] [신입] 품질팀 품질 서무/비품관리,신입,고졸이상,계약직,중견기업,"4,092억 5,176만원 (2023)",549 명 재직중,"5,734만원
자세히보기","824억 8,745만원",성장판 열린 회사-구직자 인기기업-복지의 끝판왕-신입연봉이 4천이상-보너스로 행복해요♥-집 걱정 안 하기-매출 1000대 기업-장기근속수당제공 기업-KOSDAQ 상장-빵빵한 구내식당
27,충남,(주)농심,(주)농심 아산공장 공장업무직(산업안전) 채용,신입/경력(연차무관),초대졸이상,정규직,중견기업,"2조 6,053억 6,605만원 (2023)","5,491 명 재직중","5,800만원
자세히보기","304억 1,321만원",안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-매출 1조 클럽-매출 1000대 기업-KOSPI 상장
28,충남,하나머티리얼즈(주),[신입] IT 프로그램 개발자 모집,신입,학력무관,정규직,중견기업,"2,332억 1,430만원 (2023)",730 명 재직중,"6,264만원
자세히보기","98억 7,633만원",성장판 열린 회사-채용에 적극적인 회사-복지의 끝판왕-자기계발비 지원 기업-보너스로 행복해요♥-아낌없이 주는 커피-거침없이 성장하는 회사-장기근속수당제공 기업-육아휴직 제공 기업-KOSDAQ 상장-빵빵한 구내식당
29,충남,SK마이크로웍스솔루션즈 주식회사,2024년 설비 보전 기술직 영입,신입/경력(연차무관),고졸이상,정규직,중견기업,"4,105억 7,302만원 (2022)",336 명 재직중,-,"87억 9,963만원",성장판 열린 회사-복지의 끝판왕-HOT한 인기기업-지방에 위치한 대기업-보너스로 행복해요♥-집 걱정 안 하기-장기근속수당제공 기업-빵빵한 구내식당-휴식까지 챙겨줘요!
