,region,cpname,title,career,education,jobtype,cptype,sales,employees,aversalary,capital,pros
0,충북,한국세라믹기술원,한국세라믹기술원 2024년도 제2분기 채용공고,신입/경력(연차무관),학력무관,정규직외,중견기업,"934억 6,146만원 (2022)",230 명 재직중,"5,426만원
자세히보기",100만원,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-인크루트 인증 우수기업
1,충북,코레일테크(주),2024년 하반기 공무직사원 공개경쟁채용 모집공고,신입/경력(연차무관),학력무관,계약직,중소기업,"2,463억 6,017만원 (2023)","5,624 명 재직중","4,166만원
자세히보기",19억 400만원,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업-인크루트 인증 우수기업-KOSPI 상장
2,충북,한국석유관리원,2024년 한국석유관리원 체험형 청년인턴 채용공고,신입/경력(연차무관),학력무관,인턴,중기업,"449억 9,319만원 (2022)",418 명 재직중,"5,928만원
자세히보기","493억 3,250만원",안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업-인크루트 인증 우수기업
3,충북,에프알엘코리아,유니클로 신입사원(UMC) 채용,신입,대졸이상,정규직,대기업,"9,219억 4,123만원 (2023)","3,033 명 재직중","3,277만원
자세히보기",240억원,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-거침없이 성장하는 회사-매출 1000대 기업-인크루트 인증 우수기업-대기업 in 서울-육아휴직 제공 기업
4,충북,CJ제일제당(주),2024년 2차 CJ제일제당(식품) 중부권 생산기술직 신입 채용,신입,고졸이상,정규직,대기업,"7조 5,470억 7,262만원 (2023)","8,528 명 재직중","6,382만원
자세히보기",819억 809만원,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-매출 1조 클럽-매출 1000대 기업-대기업 in 서울-KOSPI 상장
5,충북,한국세라믹기술원,한국세라믹기술원 2024년도 제2분기 채용공고(체험형 인턴),신입/경력(연차무관),학력무관,인턴,중견기업,"934억 6,146만원 (2022)",230 명 재직중,"5,426만원
자세히보기",100만원,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-인크루트 인증 우수기업
6,충북,우리은행,파트타이머 인재풀 등록,신입/경력(연차무관),학력무관,계약직,대기업,"21조 141억 1,300만원 (2023)","13,343 명 재직중","11,230만원
자세히보기","3조 3,813억 9,200만원",구직자 인기기업-복지의 끝판왕-HOT한 인기기업-평균연봉 6천이상-신입연봉이 4천이상-집 걱정 안 하기-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
7,충북,(주)선진,2024 선진 2분기 수시 채용,신입/경력1년↑,대졸이상,정규직,대기업,"1조 1,911억 171만원 (2023)",441 명 재직중,"6,094만원
자세히보기","118억 8,980만원",안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-평균연봉 6천이상-보너스로 행복해요♥-집 걱정 안 하기-매출 1000대 기업-인크루트 인증 우수기업-장기근속수당제공 기업-KOSPI 상장-휴식까지 챙겨줘요!
8,충북,코오롱제약(주),2024년 코오롱제약 5월 수시채용,신입/경력(연차무관),고졸이상,정규직외,대기업,"1,350억 1,913만원 (2023)",441 명 재직중,"6,844만원
자세히보기",120억원,안정적인 장수 회사-인크루트 인증 우수기업-빵빵한 구내식당
9,충북,환인제약(주),환인제약(주) 2024년 영업/마케팅 공개채용(4/22(월)~5/21(화) 13:30까지),신입/경력(연차무관),대졸이상,정규직,중견기업,"2,282억 4,281만원 (2023)",656 명 재직중,"5,693만원
자세히보기",97억 3만원,안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-복지의 끝판왕-집 걱정 안 하기-KOSPI 상장-빵빵한 구내식당
10,충북,(주)엘지에너지솔루션,2024년 5월 계약직 사원 모집 (품질시험원),경력(연차무관),고졸이상,계약직,대기업,"12조 2,884억 3,900만원 (2023)","12,162 명 재직중","12,306만원
자세히보기","1,170억원",구직자 인기기업
11,충북,한국세라믹기술원,한국세라믹기술원 2024년도 제2분기 채용공고(계약직),신입/경력(연차무관),학력무관,계약직,중견기업,"934억 6,146만원 (2022)",230 명 재직중,"5,426만원
자세히보기",100만원,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-인크루트 인증 우수기업
12,충북,(주)DB하이텍,[DB하이텍] 장비 엔지니어 신입사원 상시채용 (부천/음성),신입,초대졸이상,정규직,대기업,"1조 632억 6,110만원 (2023)","2,069 명 재직중","4,497만원
자세히보기","2,225억 5,583만원",안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-매출 1000대 기업-대기업 in 서울-육아휴직 제공 기업-KOSPI 상장
13,충북,우리은행,[충청북부] 영업점 파트타이머 인재 Pool 상시 등록,신입/경력(연차무관),학력무관,알바,대기업,"21조 141억 1,300만원 (2023)","13,343 명 재직중","11,230만원
자세히보기","3조 3,813억 9,200만원",구직자 인기기업-복지의 끝판왕-HOT한 인기기업-평균연봉 6천이상-신입연봉이 4천이상-집 걱정 안 하기-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
14,충북,㈜셀트리온제약,셀트리온제약 신입 및 경력 상시채용,신입/경력(연차무관),학력무관,정규직외,대기업,"3,887억 9,433만원 (2023)",937 명 재직중,"6,251만원
자세히보기",198억 512만원,성장판 열린 회사-구직자 인기기업-복지의 끝판왕-지방에 위치한 대기업-보너스로 행복해요♥-거침없이 성장하는 회사-장기근속수당제공 기업-KOSDAQ 상장-휴식까지 챙겨줘요!
15,충북,풀무원식품 주식회사,풀무원식품(주) FC IT팀 채용,신입/경력(연차무관),학력무관,정규직,중견기업,"1조 1,523억 5,615만원 (2023)",728 명 재직중,"6,184만원
자세히보기","530억 6,773만원",성장판 열린 회사-구직자 인기기업-매출 1조 클럽-매출 1000대 기업-인크루트 인증 우수기업
16,충북,엘에스일렉트릭(주),2024년 상반기 연구개발 수시채용,신입/경력(연차무관),대졸이상,정규직,대기업,3조 43억 632만원 (2023),"3,221 명 재직중",-,"1,500억원",안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-복지의 끝판왕-매출 1조 클럽-집 걱정 안 하기-매출 1000대 기업-KOSPI 상장
17,충북,대원제약(주),2023 대원제약 DNA 채용(공장 상시채용),신입/경력(연차무관),고졸이상,정규직,중견기업,"5,006억 9,628만원 (2023)","1,257 명 재직중","6,300만원
자세히보기","110억 9,509만원",안정적인 장수 회사-구직자 인기기업-복지의 끝판왕-보너스로 행복해요♥-집 걱정 안 하기-인크루트 인증 우수기업-장기근속수당제공 기업-KOSPI 상장-휴식까지 챙겨줘요!
18,충북,(주)아워홈,"2024년 영양사, 조리사 상시 채용",경력(연차무관),학력무관,정규직,중견기업,"1조 7,652억 9,962만원 (2023)","8,822 명 재직중","4,005만원
자세히보기",114억 976만원,구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-보너스로 행복해요♥-집 걱정 안 하기-매출 1000대 기업-인크루트 인증 우수기업-장기근속수당제공 기업-빵빵한 구내식당-휴식까지 챙겨줘요!
